Month,ROUTE,CITY,Avg Full Fare,Avg Exp Fare,Avg Reduced Fare,Avg Full Fare Pass,Avg Reduced Pass,Avg Monthly Pass,Avg Free,Avg Bikes,Avg W/C, Avg Daily Boardings, Total Boardings ,Daily Revenue Miles,Total Rev. Miles,Boardings Per Rev Mile,2019 - Avg Daily,% Difference
Jan,Valley Metro Rail,Phoenix,,,,,,,,,,"66,349","799,409","15,805","175,822",12.6,"70,673",-18%
Feb,Valley Metro Rail,Phoenix,,,,,,,,,,"70,717","785,582","15,946","166,779",13,"70,001",5%
March,Valley Metro Rail,Phoenix,,,,,,,,,,"54,036","621,128","15,867","176,510",11,"73,828",-79%
April,Valley Metro Rail,Phoenix,,,,,,,,,,"34,104","367,871","8,730","92,666",12,"74,317",-161%
May,Valley Metro Rail,Phoenix,,,,,,,,,,"22,347","312,807","9,285","124,796",5,"47,807",-104%
June,Valley Metro Rail,Phoenix,,,,,,,,,,"20,937","299,800","9,285","125,964",4,"43,946",-103%
