OBJECTID,StopID,NextRide,Location,Juris,Photo,Routes,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
2452,14,17377,8TH ST & WESTWOOD,Mesa,https://farm5.staticflickr.com/4564/24418043058_53b536494f_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2453,2866,17378,DATE & 8TH ST,Mesa,https://farm8.staticflickr.com/7599/16325294054_ce852ae1f7_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2454,2867,17379,DATE- 10TH ST & BROWN RD,Mesa,https://farm9.staticflickr.com/8727/16947685765_1d0f3e9472_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2455,210,17380,BROWN RD & DATE,Mesa,https://farm5.staticflickr.com/4516/38414439406_20d17d2f62_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2456,201,17381,BROWN RD & COUNTRY CLUB DR,Mesa,https://farm5.staticflickr.com/4517/38414439996_b57e18e0ce_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2457,205,17382,BROWN RD & GRAND,Mesa,https://farm5.staticflickr.com/4562/24598505638_3d535f58b2_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2458,218,17383,BROWN RD & CENTER ST,Mesa,https://farm5.staticflickr.com/4564/38260785752_b6362924a8_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2459,200,17397,BROWN RD & N CENTER ST,Mesa,https://farm5.staticflickr.com/4574/38414440086_92b8f40430_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2460,211,17398,BROWN RD & N PASADENA ,Mesa,https://farm5.staticflickr.com/4551/38414439396_fa29546279_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2461,216,17399,BROWN RD & N GRAND COURT,Mesa,https://farm5.staticflickr.com/4523/26516857809_7f2eb9ee58_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2462,2784,17388,CENTER ST & 8TH ST,Mesa,https://farm9.staticflickr.com/8745/16740332677_b0aa644704_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2463,6387,17389,BROWN RD & CENTER ST,Mesa,https://farm8.staticflickr.com/7610/16327575253_bf97488d28_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2464,6390,17390,BROWN RD & GRAND,Mesa,https://farm8.staticflickr.com/7591/16921690366_cd6d691b23_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2465,6388,17391,BROWN RD -- COUNTRY CLUB DR & DATE,Mesa,https://farm8.staticflickr.com/7596/16759947138_5e709b7b3a_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2466,6389,0,BROWN RD & DATE,Mesa,https://farm9.staticflickr.com/8751/16946640361_9b50aa617f_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2467,4572,17393,DATE & 8TH PL,Mesa,https://farm8.staticflickr.com/7282/16946347732_9826d9b860_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2468,4491,17384,CENTER ST & 6TH PL,Mesa,https://farm9.staticflickr.com/8695/16759971888_669a9f377b_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2469,4490,17385,CENTER ST & 5TH ST,Mesa,https://farm9.staticflickr.com/8709/16761450199_bf805bbb3f_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2470,993,17371,3RD PL & -- MACDONALD & DREW ST,Mesa,https://farm9.staticflickr.com/8716/16325301504_74a25f586e_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2471,2781,17396,CENTER ST & 1ST ST,Mesa,https://farm8.staticflickr.com/7610/16760151160_d496f7760a_o.jpg,BUZZ,Weekend,,,,4,1,14,12,9,,,,,
2472,2786,17386,CENTER ST & UNIVERSITY DR,Mesa,https://farm8.staticflickr.com/7646/16947686135_14a8fc4c1d_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2473,2783,17387,CENTER ST & 6TH ST,Mesa,https://farm8.staticflickr.com/7639/16947686345_37d433fdb9_o.jpg,BUZZ,Weekend,,,,,,,,,,,,,
2474,9574,13734,59 AVE & BEARDSLEY RD,Glendale,,59,Weekend,14,14,13,14,10,17,26,20,13,17,20,14,25
2475,4231,12902,67TH AVE & BELL RD,Glendale,https://farm9.staticflickr.com/8614/16311752117_ca774db4de_o.jpg,67,Weekend,20,19,18,27,14,21,32,50,26,30,27,22,22
2476,4248,14373,67TH AVE & KINGS AVE,Glendale,https://farm8.staticflickr.com/7452/16495942621_9610f74eb7_o.jpg,67,Weekend,1,1,1,1,1,0,1,3,1,1,1,1,1
2477,4262,14374,67TH AVE & PARADISE LN,Glendale,https://farm9.staticflickr.com/8590/16309953078_2542d3385d_o.jpg,67,Weekend,1,1,0,0,0,1,1,1,1,1,1,1,1
2478,4255,14375,67TH AVE & NANCY RD,Glendale,https://farm8.staticflickr.com/7363/16495942501_24e71afb2e_o.jpg,67,Weekend,1,1,1,2,1,2,1,2,2,1,1,1,2
2479,4244,14376,67TH AVE & GREENWAY RD,Glendale,https://farm9.staticflickr.com/8600/16495918711_1d5a9bf69b_o.jpg,67,Weekend,4,4,3,7,4,6,6,9,5,5,4,4,3
2480,4268,14378,67TH AVE & THUNDERBIRD RD,Peoria,https://farm9.staticflickr.com/8594/16311406599_dd0dece4f5_o.jpg,67,Weekend,7,6,6,9,5,11,10,12,6,6,6,4,4
2481,4272,14379,67TH AVE & WILLOW AVE,Peoria,https://farm9.staticflickr.com/8667/16495942331_d68ebf8abb_o.jpg,67,Weekend,3,3,3,1,1,1,1,2,1,1,2,1,1
2482,4266,14380,67TH AVE & SWEETWATER AVE,Peoria,https://farm8.staticflickr.com/7458/16497680685_fc7f5dc2fb_o.jpg,67,Weekend,1,1,1,0,0,1,1,2,0,1,0,0,0
2483,9321,14413,SB N 67TH AV FS W CORRINE DR,Glendale,https://farm8.staticflickr.com/7456/16496657092_24fddc3c2e_o.jpg,67,Weekend,0,0,0,0,0,1,1,1,0,0,0,0,0
2484,4235,14381,67TH AVE & CACTUS RD,Peoria,https://farm9.staticflickr.com/8628/16309953518_6f8acaf9a3_o.jpg,67,Weekend,4,3,3,4,3,5,7,7,4,3,5,4,3
2485,4265,14382,67TH AVE & SUNNYSIDE DR,Peoria,https://farm8.staticflickr.com/7408/16495918611_0aa7ae3ed6_o.jpg,67,Weekend,1,1,1,2,1,2,2,3,1,1,1,1,0
2486,4238,14383,67TH AVE & CHOLLA ST,Peoria,https://farm8.staticflickr.com/7314/16497680915_0f7923a47b_o.jpg,67,Weekend,2,2,2,3,2,4,2,2,1,1,1,1,1
2487,4227,14384,67TH AVE & DESERT COVE AVE,Peoria,https://farm8.staticflickr.com/7412/15875121244_0ef3e879b6_o.jpg,67,Weekend,2,2,2,3,1,3,2,1,0,0,0,0,1
2488,4263,14385,67TH AVE & PEORIA AVE,Peoria,https://farm8.staticflickr.com/7444/16471658986_320925fa5e_o.jpg,67,Weekend,33,32,30,40,22,36,37,51,25,30,33,27,20
2489,4253,14386,67TH AVE & MOUNTIAN VIEW RD,Peoria,https://farm8.staticflickr.com/7392/16311406759_a23be26899_o.jpg,67,Weekend,2,2,2,2,1,2,4,4,2,2,2,2,1
2490,4237,14387,67TH AVE & CAROL AVE,Peoria,https://farm8.staticflickr.com/7310/16309929138_6e7a8e3b7e_o.jpg,67,Weekend,1,1,1,2,1,1,1,1,1,1,1,0,1
2491,4258,14388,67TH AVE & OLIVE AVE,Glendale,https://farm8.staticflickr.com/7378/15877536383_3b2de80bd8_o.jpg,67 | 90,Weekend,42,40,38,48,33,57,59,72,38,56,40,40,50
2492,4273,14389,67TH AVE & DIANA AVE,Glendale,https://farm8.staticflickr.com/7307/15875120784_d493e99c25_o.jpg,67,Weekend,2,2,2,2,2,2,3,4,3,3,3,1,2
2493,4234,14390,67TH AVE & BUTLER DR,Glendale,https://farm8.staticflickr.com/7288/16311406879_d347c3e3c9_o.jpg,67,Weekend,12,12,11,15,8,17,27,28,15,15,13,12,10
2494,4232,14392,67TH AV & BELMONT AV,Glendale,https://farm8.staticflickr.com/7362/16497681005_a8b06ee645_o.jpg,67,Weekend,2,2,2,1,0,1,1,1,0,1,0,0,0
2495,4259,14393,67TH AVE & ORANGEWOOD AVE,Glendale,https://farm8.staticflickr.com/7414/15875120924_c42eac5697_o.jpg,67,Weekend,1,1,1,1,1,1,1,2,1,1,0,1,1
2496,4254,14394,67TH AVE & MYRTLE AVE,Glendale,https://farm8.staticflickr.com/7319/16311751837_14f7072def_o.jpg,67 | GUS1,Weekend,4,4,4,4,3,5,5,6,3,3,2,2,2
2497,4243,14395,67TH AVE & GLENDALE AVE,Glendale,https://farm8.staticflickr.com/7437/16309953428_28d9a88a17_o.jpg,67,Weekend,36,34,32,52,29,42,48,59,31,38,34,30,24
2498,4257,14396,67TH AVE & OCOTILLA RD,Glendale,https://farm8.staticflickr.com/7454/16311728617_1e4ef983fb_o.jpg,67,Weekend,9,9,8,10,7,11,14,19,10,12,8,7,5
2499,4249,14397,67TH AVE & MARYLAND AVE,Glendale,https://farm9.staticflickr.com/8587/16310220010_5d4e455e89_o.jpg,67,Weekend,8,7,7,15,6,10,11,16,7,8,7,7,6
2500,4229,14398,67TH AVE & PECK DR,Glendale,https://farm8.staticflickr.com/7406/16310244790_b40cd3acc7_o.jpg,67,Weekend,6,6,6,15,6,9,11,15,6,8,8,5,6
2501,4233,14399,67TH AVE & BETHANY HOME RD,Glendale,,67,Weekend,33,32,30,38,23,36,42,52,30,40,36,27,22
2502,4252,14400,67TH AVE & MONTEBELLO AVE,Glendale,https://farm8.staticflickr.com/7369/16471659056_31125eed56_o.jpg,67,Weekend,5,5,5,5,2,6,7,13,6,6,7,5,4
2503,4251,14401,67TH AVE & MISSOURI AVE,Glendale,https://farm9.staticflickr.com/8673/16497680865_97745ca66f_o.jpg,67,Weekend,2,2,2,3,1,3,4,3,4,3,2,2,1
2504,4240,14402,67TH AVE & COLTER ST,Glendale,https://farm8.staticflickr.com/7453/15875097274_2e6a2e810f_o.jpg,67,Weekend,1,0,0,1,0,2,1,1,0,0,0,0,0
2505,2507,14329,67TH AVE & CAMELBACK RD,Glendale,https://farm9.staticflickr.com/8655/15875099134_fb29a88800_o.jpg,67,Weekend,30,29,27,62,38,62,64,82,42,53,44,39,30
2506,2510,14330,67TH AVE & COLTER ST,Glendale,https://farm8.staticflickr.com/7438/16496679872_b74e17b2b6_o.jpg,67,Weekend,1,1,1,1,1,1,2,3,1,1,1,1,1
2507,2521,14331,67TH AVE & MISSOURI AVE,Glendale,https://farm9.staticflickr.com/8649/16311757467_706e8433a7_o.jpg,67,Weekend,4,4,4,4,2,4,5,4,2,2,2,1,1
2508,2522,14332,67TH AVE & MONTEBELLO AVE,Glendale,https://farm8.staticflickr.com/7424/16311385269_14e822e80f_o.jpg,67,Weekend,7,7,6,8,5,9,7,12,5,4,6,4,3
2509,2502,14333,67TH AVE & BETHANY HOME RD,Glendale,https://farm9.staticflickr.com/8607/15875126674_e7c3206956_o.jpg,67,Weekend,34,33,30,37,22,30,31,40,22,25,20,16,14
2510,2536,14334,67TH AVE & ROSE LN,Glendale,https://farm8.staticflickr.com/7414/16497659745_39fbfbe91e_o.jpg,67,Weekend,3,3,3,3,2,5,4,5,3,3,3,1,2
2511,2519,14335,67TH AVE & MARYLAND AVE,Glendale,https://farm8.staticflickr.com/7301/16497659835_1feb1677c1_o.jpg,67,Weekend,12,11,11,9,6,8,7,12,5,8,8,5,4
2512,2527,14336,67TH AVE & OCOTILLO RD,Glendale,https://farm8.staticflickr.com/7370/16311412129_c5e8c7ba7a_o.jpg,67,Weekend,5,5,4,5,3,2,4,7,2,2,3,2,2
2513,2549,14337,67TH AV & GLENDALE AV,Glendale,https://farm8.staticflickr.com/7430/16310249860_15f82beca2_o.jpg,67,Weekend,28,27,25,29,15,25,24,36,17,20,18,16,12
2514,2524,14338,67TH AVE & MYRTLE AVE,Glendale,https://farm8.staticflickr.com/7406/15877542003_49e1676840_o.jpg,67,Weekend,6,5,5,6,6,10,9,9,5,6,4,4,5
2515,2529,14339,67TH AV & ORANGEWOOD AV,Glendale,https://farm8.staticflickr.com/7377/16311412109_56da525e94_o.jpg,67,Weekend,1,1,1,1,1,1,1,2,0,0,1,0,0
2516,2544,14340,67TH AVE & FRIER DR,Glendale,https://farm9.staticflickr.com/8619/16495947801_63cf096229_o.jpg,67,Weekend,1,1,1,1,1,3,3,3,0,0,0,0,1
2517,2546,14342,67TH AVE -- NORTHERN AVE & BUTLER DR,Glendale,https://farm9.staticflickr.com/8657/16495920551_7c8e8af63b_o.jpg,67,Weekend,2,2,2,1,1,4,6,6,1,2,1,1,1
2518,2505,14343,67TH AVE & BUTLER DR,Glendale,https://farm9.staticflickr.com/8627/16311385339_fb7fbf8e7a_o.jpg,67,Weekend,10,10,9,8,5,6,7,12,6,7,6,6,5
2519,2501,14344,67TH AVE & ALICE AVE,Glendale,https://farm8.staticflickr.com/7434/16471688136_5db4e54310_o.jpg,67,Weekend,4,4,4,2,1,10,10,7,3,2,1,1,1
2520,2528,14345,67TH AVE & OLIVE AVE,Glendale,https://farm8.staticflickr.com/7373/16496652952_d480fac590_o.jpg,67,Weekend,15,14,13,15,9,10,11,14,8,10,8,7,5
2521,2538,14346,67TH AVE & SUNNYSLOPE LN,Glendale,https://farm8.staticflickr.com/7431/16310249970_5e14a11a29_o.jpg,67,Weekend,3,3,2,1,1,1,3,3,0,1,1,1,1
2522,2523,14347,67TH AVE & MOUNTAIN VIEW RD,Glendale,https://farm8.staticflickr.com/7285/16471688086_6f7d73956a_o.jpg,67,Weekend,1,1,1,1,0,3,2,1,1,0,1,0,0
2523,2504,14348,67TH AVE & BROWN ST,Glendale,https://farm8.staticflickr.com/7426/16310222040_f9067da418_o.jpg,67,Weekend,1,1,1,0,,0,1,1,0,0,0,0,0
2524,2533,14349,67TH AVE & PEORIA AVE,Glendale,https://farm8.staticflickr.com/7440/16310221890_eff7581f6b_o.jpg,67,Weekend,12,11,11,11,7,14,13,17,8,8,7,6,5
2525,2512,14350,67TH AVE & DESERT COVE AVE,Glendale,https://farm8.staticflickr.com/7370/16311730697_2ec1a3607a_o.jpg,67,Weekend,0,0,0,0,0,0,2,3,0,0,0,0,0
2526,2548,14351,67TH AVE & LUPINE AVE,Glendale,https://farm8.staticflickr.com/7447/16311411919_5ee13b4238_o.jpg,67,Weekend,1,1,1,1,1,1,2,1,0,0,0,0,0
2527,2537,14352,67TH AVE & SIERRA ST,Glendale,https://farm9.staticflickr.com/8607/16495920581_8168f1d11e_o.jpg,67,Weekend,0,0,0,,,0,0,0,0,0,0,0,0
2528,2506,14353,67TH AVE & CACTUS RD,Glendale,https://farm9.staticflickr.com/8603/15875126644_10645d503d_o.jpg,67,Weekend,3,2,2,2,2,3,3,2,1,1,2,1,1
2529,2503,14354,67TH AVE & BLOOMFIELD RD,Glendale,https://farm9.staticflickr.com/8643/16497686665_55694245eb_o.jpg,67,Weekend,,,,0,0,0,1,1,,0,0,0,0
2530,2539,14355,67TH AVE & SWEETWATER AVE,Glendale,https://farm9.staticflickr.com/8678/16471660996_9f2f45ce58_o.jpg,67,Weekend,0,0,0,,0,,0,1,,,0,0,0
2531,2543,14356,67TH AVE & WILLOW AVE,Glendale,https://farm8.staticflickr.com/7403/16495947811_ffdb11346e_o.jpg,67,Weekend,0,0,0,1,0,0,1,1,0,0,0,0,0
2532,2541,14357,67TH AVE & THUNDERBIRD RD,Glendale,https://farm8.staticflickr.com/7327/15877541893_64def80957_o.jpg,67,Weekend,4,4,4,6,4,5,3,4,7,2,2,3,1
2533,2534,14358,67TH AVE & REDFIELD RD,Glendale,https://farm8.staticflickr.com/7446/16311385259_b070c69c9c_o.jpg,67,Weekend,1,1,1,1,1,1,1,1,0,,0,0,0
2534,2511,14359,67TH AVE & COUNTRY GABLES DR,Glendale,https://farm8.staticflickr.com/7291/16311730727_333af1a959_o.jpg,67,Weekend,0,0,0,0,0,1,1,2,0,,0,,0
2535,2515,14360,67TH AVE & GREENWAY RD,Glendale,https://farm8.staticflickr.com/7301/16311385299_c76c21ea9d_o.jpg,67,Weekend,1,1,1,2,1,2,2,2,1,1,1,1,1
2536,2525,14361,67TH AVE & NANCY RD,Glendale,https://farm8.staticflickr.com/7369/15875126534_3a1d7439a7_o.jpg,67,Weekend,0,0,0,0,,0,0,1,0,0,0,0,0
2537,2532,14362,67TH AVE & PARADISE LN,Glendale,https://farm9.staticflickr.com/8620/16497686405_5b74b4739e_o.jpg,67,Weekend,1,1,1,2,2,2,2,2,0,0,0,,0
2538,2518,14363,67TH AVE & KINGS AVE,Glendale,https://farm8.staticflickr.com/7460/16496679852_8b126f5eae_o.jpg,67,Weekend,0,0,0,0,0,0,0,0,0,0,0,0,0
2539,7084,16839,UNION HILLS DR & 51ST AVE,Glendale,https://farm8.staticflickr.com/7369/15877509523_cc0549036e_o.jpg,186,Weekend,2,1,1,3,2,5,5,4,3,3,4,6,2
2540,7085,16840,UNION HILLS DR & 53RD AVE,Glendale,https://farm8.staticflickr.com/7369/15875111194_dafd37c181_o.jpg,186,Weekend,0,0,0,0,0,,0,,0,0,0,1,0
2541,7086,16841,UNION HILLS DR & 55TH AVE,Glendale,https://farm8.staticflickr.com/7353/16311397579_a23bd593cc_o.jpg,186 | 573 | 575,Weekend,1,1,1,0,0,3,2,1,0,1,1,0,1
2542,7064,16842,UNION HILLS DR & 57TH AVE,Glendale,https://farm9.staticflickr.com/8569/15877526653_9e272551b0_o.jpg,59 | 186,Weekend,1,1,1,1,1,4,3,2,0,,0,0,0
2543,7087,16843,UNION HILLS DR & 59TH AVE,Glendale,https://farm9.staticflickr.com/8562/16310234080_aa7cd7623d_o.jpg,186,Weekend,2,2,2,4,3,4,5,5,3,3,2,3,2
2544,7088,16844,UNION HILLS DR & 63RD AVE,Glendale,https://farm9.staticflickr.com/8570/16497671415_92cdba310b_o.jpg,186,Weekend,0,0,0,0,0,0,0,0,0,0,0,0,0
2545,7095,16845,UNION HILLS DR & 64TH DR,Glendale,https://farm8.staticflickr.com/7410/15877526313_576280275c_o.jpg,186,Weekend,1,1,1,0,0,2,1,1,0,0,0,,
2546,7089,16846,UNION HILLS DR & 67TH AVE,Glendale,https://farm9.staticflickr.com/8625/16495932941_e82a26464c_o.jpg,186,Weekend,1,1,1,1,0,2,4,3,2,2,6,3,3
2547,7090,16847,UNION HILLS DR & 68TH DR,Glendale,https://farm8.staticflickr.com/7410/15875111034_8e23dc94fb_o.jpg,186,Weekend,0,0,0,1,0,2,2,1,0,0,0,0,0
2548,7091,16848,UNION HILLS DR & 71ST AVE,Glendale,https://farm8.staticflickr.com/7409/16471673256_9be42c3d9f_o.jpg,186,Weekend,0,0,0,1,,2,2,1,0,0,0,0,0
2549,7092,16849,UNION HILLS DR & 73RD AVE,Glendale,https://farm8.staticflickr.com/7410/15877526313_576280275c_o.jpg,186,Weekend,0,0,0,1,0,0,0,0,0,0,0,0,0
2550,7667,16850,UNION HILLS DR & 75TH DR,Glendale,,186,Weekend,0,0,0,0,0,0,0,0,0,0,0,0,0
2551,7668,16851,UNION HILLS DR & 77TH AVE,Glendale,,186,Weekend,,,,0,,0,0,0,,,,,
2552,8715,16852,79TH AVE & UNION HILLS DR,Glendale,https://farm9.staticflickr.com/8573/15877508103_c08ec0c063_o.jpg,186,Weekend,1,1,1,1,1,2,2,2,0,1,1,1,1
2553,7669,16853,79TH AVE -- UNION HILLS DR & ST JOHN RD,Glendale,https://farm8.staticflickr.com/7292/16497670705_49605e631d_o.jpg,186,Weekend,1,1,1,1,1,2,2,1,0,0,,0,0
2554,7670,16854,79TH AVE & ST JOHN RD,Glendale,https://farm8.staticflickr.com/7458/15877525593_1d1bd8316b_o.jpg,186,Weekend,0,0,0,0,0,4,2,1,0,,2,0,0
2555,975,14368,ARROWHEAD MALL NORTH MALL ENTRANCE,Glendale,,67 | 83 | 170 | 186,Weekend,36,35,32,99,65,114,149,125,82,222,130,121,131
2556,7664,16760,79TH AVE & ST JOHN RD,Glendale,https://farm8.staticflickr.com/7307/16309942318_87d5ae11a7_o.jpg,186,Weekend,1,1,1,2,2,2,3,3,2,2,2,2,2
2557,7665,16761,79TH AVE -- ST JOHN RD & UNION HILLS DR,Glendale,https://farm9.staticflickr.com/8619/15875110464_b6005f6402_o.jpg,186,Weekend,2,2,2,3,1,2,2,2,1,2,1,1,0
2558,8666,16762,UNION HILLS DR & 79TH AVE,Glendale,https://farm8.staticflickr.com/7292/16311738197_af170ea1e7_o.jpg,186,Weekend,6,6,5,7,4,7,12,11,5,6,8,8,8
2559,7666,16763,UNION HILLS DR & 77TH AVE,Glendale,https://farm8.staticflickr.com/7301/16310216630_c9179b14e2_o.jpg,186,Weekend,0,0,0,1,0,1,1,1,,,0,0,0
2560,8908,16764,EB UNION HILLS RD FS 75TH AV,Glendale,https://farm9.staticflickr.com/8662/16496659192_8c5451c946_o.jpg,186,Weekend,1,1,1,2,1,2,2,3,1,1,1,1,1
2561,1770,16767,UNION HILLS DR & 68TH DR,Glendale,https://farm9.staticflickr.com/8586/15877543913_8862826f2b_o.jpg,186,Weekend,1,0,0,0,,0,0,0,0,0,0,0,0
2562,1769,16768,UNION HILLS DR & 67TH AVE,Glendale,,186,Weekend,6,5,5,4,4,5,5,9,4,4,6,6,5
2563,1768,16769,UNION HILLS DR & 64TH AVE,Glendale,https://farm8.staticflickr.com/7347/16471690026_c5c61fbd2e_o.jpg,186,Weekend,1,1,1,0,0,0,0,1,0,0,0,0,0
2564,1767,16770,UNION HILLS DR & 63RD AVE,Glendale,https://farm8.staticflickr.com/7329/16309960928_25b19c417c_o.jpg,186,Weekend,0,0,0,1,0,2,1,1,0,0,0,0,0
2565,1773,16771,UNION HILLS DR & 60TH AVE,Glendale,https://farm8.staticflickr.com/7317/16311759207_be12fabfcd_o.jpg,186,Weekend,0,0,0,0,0,2,1,1,,,0,,
2566,1766,16772,UNION HILLS DR & 59TH AVE,Glendale,https://farm9.staticflickr.com/8625/16311385909_952cc0b678_o.jpg,59 | 186,Weekend,9,8,8,10,7,10,11,13,7,10,8,10,7
2567,1765,16773,UNION HILLS DR & 57TH AVE,Glendale,https://farm8.staticflickr.com/7375/16311414199_a455d719ef_o.jpg,186,Weekend,3,2,2,3,2,2,2,4,1,1,1,1,1
2568,1764,16774,UNION HILLS DR & 55TH AVE,Glendale,https://farm8.staticflickr.com/7430/16311731247_12dbf0cacc_o.jpg,186,Weekend,0,0,0,0,0,0,0,0,1,1,0,0,0
2569,1763,16775,UNION HILLS DR & 53RD AVE,Glendale,https://farm8.staticflickr.com/7445/16310222640_20251c3973_o.jpg,186,Weekend,0,0,0,0,0,2,1,1,0,0,0,2,0
2570,6315,16699,BELL RD & 51ST AVE,Glendale,https://farm8.staticflickr.com/7452/16471676366_b83b1aa050_o.jpg,170,Weekend,13,12,12,17,10,9,12,22,14,14,19,19,21
2571,6297,16700,BELL RD & 53RD AVE,Glendale,https://farm8.staticflickr.com/7442/16496667762_98299cd1d5_o.jpg,170,Weekend,1,1,1,3,2,8,5,2,2,2,1,1,1
2572,6316,16701,BELL RD & 55TH AVE,Glendale,https://farm8.staticflickr.com/7337/16495935811_3538b73255_o.jpg,170,Weekend,1,1,1,2,1,5,3,2,1,1,0,0,0
2573,6317,16702,BELL RD & 57TH AVE,Glendale,,170,Weekend,3,3,3,3,1,6,5,7,3,2,1,1,3
2574,6318,16703,BELL RD & 59TH AVE,Glendale,,170,Weekend,13,13,12,12,8,18,17,23,13,16,17,16,15
2575,6319,16704,BELL RD & 61ST AVE,Glendale,https://farm9.staticflickr.com/8574/15877510423_ed284a8e24_o.jpg,170,Weekend,0,0,0,1,0,0,1,1,0,0,1,1,1
2576,6320,16705,BELL RD & 63RD AVE,Glendale,https://farm8.staticflickr.com/7293/16309926608_58d5c1fd4e_o.jpg,170,Weekend,1,1,1,0,0,1,2,1,0,1,1,1,1
2577,6328,16706,BELL RD -- 63RD AVE & 67TH AVE,Glendale,https://farm8.staticflickr.com/7318/16311745297_c25c8755df_o.jpg,170,Weekend,1,1,1,1,0,1,1,1,2,1,1,0,0
2578,6321,18153,BELL RD & 67TH AVE,Glendale,https://farm9.staticflickr.com/8581/16309945998_941e39603f_o.jpg,170,Weekend,7,7,6,4,5,6,22,27,15,21,14,15,15
2579,6322,14365,BELL RD & 69TH AVE,Glendale,https://farm8.staticflickr.com/7340/16311400169_70b9810f12_o.jpg,170,Weekend,2,2,2,2,0,3,2,3,0,1,1,0,1
2580,6323,14366,BELL RD & 73RD AVE,Glendale,,170,Weekend,2,2,2,2,0,3,2,1,0,0,1,0,0
2581,2563,14367,75TH AVE & BELL RD,Glendale,[https://farm8.staticflickr.com/7435/15877541823_56df1f3354_o.jpg,170,Weekend,3,3,3,2,1,6,9,6,0,0,11,0,0
2582,1050,14369,BELL RD & 75TH AVE,Glendale,,170,Weekend,50,48,45,45,30,45,38,45,23,32,26,31,27
2583,1049,14370,BELL RD & 73RD AVE,Glendale,https://farm8.staticflickr.com/7426/15875100694_ab582be628_o.jpg,170,Weekend,9,9,9,8,4,10,11,9,4,6,5,5,5
2584,1048,14371,BELL RD & 69TH AVE,Glendale,https://farm8.staticflickr.com/7447/16495952281_df812b9033_o.jpg,170,Weekend,3,3,3,5,2,9,6,6,2,4,3,2,3
2585,1047,16576,BELL RD & 67TH AVE,Glendale,https://farm9.staticflickr.com/8590/15877546273_56cc473f47_o.jpg,170,Weekend,18,18,16,21,14,26,23,30,17,21,19,20,23
2586,1054,16577,BELL RD -- 67TH AVE & 63RD AVE,Glendale,https://farm8.staticflickr.com/7323/16495952251_b442e9d83b_o.jpg,170,Weekend,3,3,3,3,1,4,3,4,1,1,2,2,1
2587,1046,16578,BELL RD & 63RD AVE,Glendale,https://farm8.staticflickr.com/7451/16310254410_d4d15e244c_o.jpg,170,Weekend,5,5,5,4,2,6,6,6,2,2,3,4,3
2588,1045,16579,BELL RD & 61ST AVE,Glendale,https://farm8.staticflickr.com/7409/15877546293_5a7a0f5b58_o.jpg,170,Weekend,5,5,4,4,3,6,5,5,2,2,3,3,4
2589,1044,16580,BELL RD & 59TH AVE,Glendale,https://farm8.staticflickr.com/7448/15877515983_709af35e9d_o.jpg,170,Weekend,26,25,23,29,23,33,33,45,27,42,32,36,35
2590,1043,16581,BELL RD & 57TH AVE,Glendale,https://farm8.staticflickr.com/7445/16311761817_655646a6d2_o.jpg,170,Weekend,6,6,6,5,4,6,6,9,4,7,6,6,7
2591,1053,16582,BELL RD & TALAVI BLVD,Glendale,https://farm8.staticflickr.com/7348/16495952261_6c9c456d67_o.jpg,170,Weekend,4,4,4,3,2,4,5,8,3,4,2,4,3
2592,1042,16583,BELL RD & 53RD AVE,Glendale,https://farm9.staticflickr.com/8615/16495952391_e0fbe5e770_o.jpg,170,Weekend,3,3,3,3,0,9,7,4,1,1,1,1,2
2593,7049,16357,THUNDERBIRD RD & 51ST AVE,Glendale,https://farm8.staticflickr.com/7291/16309943158_37ebd9c942_o.jpg,138,Weekend,12,11,10,16,10,16,19,28,14,15,17,15,15
2594,7062,16359,THUNDERBIRD RD & 53RD AVE,Glendale,https://farm8.staticflickr.com/7420/16497654725_b2aec4b98c_o.jpg,138,Weekend,1,1,1,1,1,2,2,4,2,3,1,1,2
2595,7051,16360,THUNDERBIRD RD & 55TH AVE,Glendale,https://farm8.staticflickr.com/7289/16311725617_45e3cfa148_o.jpg,138,Weekend,2,1,1,1,1,1,1,2,2,1,1,1,1
