OBJECTID,StopID,NextRide,Location,Juris,Photo,Routes,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
33,4797,16109,STAPLEY DR & HALIFAX ST,Mesa,https://farm9.staticflickr.com/8568/16311405119_cda7288917_o.jpg,128,Weekend,1,1,1,0,0,0,0,0,0,0,0,0,0
34,4795,16110,STAPLEY DR & BROWN RD,Mesa,https://farm8.staticflickr.com/7417/15875096534_dbfe16eafe_o.jpg,128,Weekend,2,1,1,2,0,1,1,1,1,1,1,1,1
35,4796,16111,STAPLEY DR & FAIRFIELD ST,Mesa,https://farm8.staticflickr.com/7362/15875119204_ff93fbcc86_o.jpg,128,Weekend,1,1,1,2,0,0,1,1,0,1,0,0,0
36,4794,16112,STAPLEY DR & 8TH PL,Mesa,https://farm9.staticflickr.com/8563/15875119274_22de6af036_o.jpg,128,Weekend,0,0,0,0,0,1,0,0,1,1,0,0,0
37,4793,16113,STAPLEY DR & 6TH ST,Mesa,https://farm8.staticflickr.com/7360/16310242930_e837c05a56_o.jpg,128,Weekend,0,0,0,0,0,,0,1,0,0,0,0,0
38,4799,16114,STAPLEY DR & UNIVERSITY DR,Mesa,https://farm8.staticflickr.com/7444/16471658406_589de2ccd2_o.jpg,128,Weekend,4,4,3,4,5,4,5,9,6,7,12,9,8
39,4792,16889,STAPLEY DR & 2ND ST,Mesa,https://farm8.staticflickr.com/7399/16495941031_f7a4f2f790_o.jpg,128,Weekend,1,1,1,1,0,0,1,1,0,1,1,1,1
40,5303,16116,STAPLEY DR & MAIN ST,Mesa,https://farm8.staticflickr.com/7287/15875116814_b2aa09b5d3_o.jpg,128,Weekend,8,7,7,3,1,4,6,9,6,9,5,6,6
41,5296,16117,STAPLEY DR & JARVIS AVE,Mesa,https://farm9.staticflickr.com/8566/16497677355_d3beed5f63_o.jpg,128,Weekend,0,0,0,1,1,1,1,3,0,0,1,1,0
42,5299,16118,STAPLEY DR & BROADWAY RD,Mesa,https://farm9.staticflickr.com/8588/16311748167_e65abd620d_o.jpg,128,Weekend,6,6,6,6,5,6,8,12,7,6,8,7,6
