,StopID,Juris,Day,ComputedStreetAddress,ComputedCity,ComputedState,Zipcode,Per Capita Income,Population,Poverty Count,Poverty Rate,2018
3676,9394,Phoenix,Weekend,6969 E MAYO BLVD,Phoenix,AZ,85054.0,59206.0,6896.0,280.0,4.060324825986079,11.666666666666666
3677,9395,Phoenix,Weekend,6969 E MAYO BLVD,Phoenix,AZ,85054.0,59206.0,6896.0,280.0,4.060324825986079,1.6666666666666667
3680,9398,Phoenix,Weekend,4570 W LOWER BUCKEYE RD,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,0.0
3681,9399,Phoenix,Weekend,4920 W LOWER BUCKEYE RD,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,0.6666666666666666
3682,9400,Phoenix,Weekend,2830 S 51ST AVE,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,6.0
3683,9401,Phoenix,Weekend,5410 W LOWER BUCKEYE RD,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,0.0
3684,9402,Phoenix,Weekend,5526 W LOWER BUCKEYE RD,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,1.6666666666666667
3685,9403,Phoenix,Weekend,2645 S 63RD DR,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,2.0
3686,9404,Phoenix,Weekend,6511 W PRESTON LN,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,2.6666666666666665
3687,9405,Phoenix,Weekend,2810 S 65TH AVE,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,4.333333333333333
3688,9407,Phoenix,Weekend,5620 W LOWER BUCKEYE RD,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,3.0
3689,9408,Phoenix,Weekend,5410 W LOWER BUCKEYE RD,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,6.0
3690,9409,Phoenix,Weekend,5215 W LOWER BUCKEYE RD,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,0.0
3691,9410,Phoenix,Weekend,5041 W LOWER BUCKEYE RD,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,9.333333333333334
3692,9411,Phoenix,Weekend,2801 S 49TH AVE,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,0.0
3697,9455,Phoenix,Weekend,5620 W LOWER BUCKEYE RD,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,0.6666666666666666
3698,9457,Phoenix,Weekend,1600 E NORTHERN AVE,Phoenix,AZ,85020.0,36727.0,34782.0,5670.0,16.301535276867344,2.6666666666666665
3699,9458,Phoenix,Weekend,1747 E NORTHERN AVE,Phoenix,AZ,85020.0,36727.0,34782.0,5670.0,16.301535276867344,12.0
3700,9465,Phoenix,Weekend,4402 S CENTRAL AVE,Phoenix,AZ,85040.0,14710.0,35358.0,11170.0,31.591153345777474,1.0
3701,9526,Phoenix,Weekend,1154 E WASHINGTON ST,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,25.0
