,StopID,Juris,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2,ComputedStreetAddress,ComputedCity,ComputedState,Zipcode
30,4798,Mesa,Weekend,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1761 N PARSELL CIR,Mesa,AZ,85203.0
31,4791,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,1730 N STAPLEY DR,Mesa,AZ,85203.0
32,4797,Mesa,Weekend,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165 E HALIFAX ST,Mesa,AZ,85203.0
33,4795,Mesa,Weekend,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1215 E BROWN RD,Mesa,AZ,85203.0
34,4796,Mesa,Weekend,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1010 N STAPLEY DR,Mesa,AZ,85203.0
35,4794,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1160 E 8TH ST,Mesa,AZ,85203.0
36,4793,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,546 N STAPLEY DR,Mesa,AZ,85203.0
37,4799,Mesa,Weekend,4.0,4.0,3.0,4.0,5.0,4.0,5.0,9.0,6.0,7.0,12.0,9.0,8.0,357 N STAPLEY DR,Mesa,AZ,85203.0
38,4792,Mesa,Weekend,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,150 N STAPLEY DR,Mesa,AZ,85203.0
39,5303,Mesa,Weekend,8.0,7.0,7.0,3.0,1.0,4.0,6.0,9.0,6.0,9.0,5.0,6.0,6.0,1205 E MAIN ST,Mesa,AZ,85203.0
40,5296,Mesa,Weekend,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1164 E NIELSON AVE,Mesa,AZ,85204.0
41,5299,Mesa,Weekend,6.0,6.0,6.0,6.0,5.0,6.0,8.0,12.0,7.0,6.0,8.0,7.0,6.0,414 S STAPLEY DR,Mesa,AZ,85204.0
42,5297,Mesa,Weekend,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,610 S STAPLEY DR,Mesa,AZ,85204.0
43,5298,Mesa,Weekend,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,810 S STAPLEY DR,Mesa,AZ,85204.0
44,5300,Mesa,Weekend,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1012 S STAPLEY DR,Mesa,AZ,85204.0
45,5304,Mesa,Weekend,3.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,1159 E SOUTHERN AVE,Mesa,AZ,85204.0
46,5301,Mesa,Weekend,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1464 S STAPLEY DR,Mesa,AZ,85204.0
47,8101,Mesa,Weekend,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1664 S STAPLEY DR,Mesa,AZ,85204.0
