,Q1,Q2,Q3,Q4,2018
4122,6.0,4.0,2.0,2.0,
4123,53.0,24.0,27.0,27.0,
4124,83.0,39.0,48.0,52.0,
4125,4.0,1.0,1.0,2.0,
4126,5.0,1.0,2.0,2.0,
4127,5.0,1.0,1.0,1.0,
4128,5.0,1.0,2.0,2.0,
4129,19.0,13.0,12.0,12.0,
4130,23.0,15.0,16.0,18.0,
4131,15.0,5.0,6.0,11.0,
4132,22.0,7.0,10.0,9.0,
4133,5.0,0.0,0.0,1.0,
4134,8.0,1.0,1.0,1.0,
4135,14.0,13.0,12.0,9.0,
4136,37.0,17.0,17.0,21.0,
4137,9.0,4.0,1.0,2.0,
4138,22.0,13.0,6.0,7.0,
4139,0.0,0.0,0.0,0.0,
4140,2.0,1.0,1.0,7.0,
4141,17.0,10.0,10.0,10.0,
4142,30.0,15.0,20.0,18.0,
4143,40.0,24.0,27.0,23.0,
4144,105.0,59.0,60.0,64.0,
4145,8.0,5.0,5.0,4.0,
4146,79.0,36.0,47.0,58.0,
4147,4.0,3.0,4.0,4.0,
4148,16.0,10.0,10.0,15.0,
4149,4.0,3.0,4.0,6.0,
4150,10.0,4.0,6.0,5.0,
4151,3.0,2.0,2.0,2.0,
4152,13.0,8.0,7.0,8.0,
4153,49.0,28.0,54.0,30.0,
4154,130.0,63.0,67.0,72.0,
4155,5.0,3.0,4.0,3.0,
4156,16.0,9.0,7.0,8.0,
4157,1.0,0.0,1.0,0.0,
4158,3.0,1.0,2.0,2.0,
4159,13.0,10.0,13.0,13.0,
4160,38.0,21.0,24.0,28.0,
4161,2.0,1.0,1.0,1.0,
4162,7.0,1.0,2.0,2.0,
4163,50.0,29.0,32.0,30.0,
4164,156.0,76.0,76.0,87.0,
4165,9.0,8.0,8.0,8.0,
4166,26.0,13.0,13.0,16.0,
4167,51.0,30.0,43.0,41.0,
4168,160.0,82.0,92.0,105.0,
4169,2.0,1.0,2.0,1.0,
4170,6.0,3.0,3.0,3.0,
4171,2.0,1.0,1.0,2.0,
4172,4.0,2.0,3.0,2.0,
4173,18.0,12.0,13.0,15.0,
4174,40.0,28.0,25.0,22.0,
4175,0.0,0.0,1.0,0.0,
4176,6.0,3.0,3.0,4.0,
4177,1.0,0.0,0.0,0.0,
4178,2.0,1.0,1.0,0.0,
4179,19.0,10.0,14.0,12.0,
4180,51.0,26.0,31.0,30.0,
4181,2.0,1.0,1.0,1.0,
4182,8.0,6.0,5.0,4.0,
4183,2.0,1.0,1.0,1.0,
4184,9.0,3.0,3.0,4.0,
4185,7.0,5.0,5.0,4.0,
4186,3.0,2.0,2.0,2.0,
4187,69.0,44.0,47.0,44.0,
4188,201.0,106.0,105.0,115.0,
4189,7.0,4.0,6.0,5.0,
4190,19.0,11.0,10.0,9.0,
4191,0.0,0.0,1.0,0.0,
4192,2.0,1.0,1.0,1.0,
4193,5.0,5.0,5.0,5.0,
4194,29.0,16.0,16.0,15.0,
4195,2.0,1.0,2.0,1.0,
4196,4.0,2.0,3.0,4.0,
4197,1.0,1.0,1.0,1.0,
4198,1.0,1.0,1.0,2.0,
4199,2.0,1.0,1.0,2.0,
4200,2.0,2.0,4.0,3.0,
4201,1.0,1.0,1.0,2.0,
4202,3.0,1.0,2.0,3.0,
4203,1.0,1.0,1.0,2.0,
4204,3.0,1.0,2.0,3.0,
4205,9.0,6.0,4.0,4.0,
4206,14.0,6.0,5.0,5.0,
4207,60.0,34.0,43.0,39.0,
4208,97.0,50.0,54.0,65.0,
4209,5.0,1.0,2.0,2.0,
4210,11.0,2.0,4.0,4.0,
4211,43.0,25.0,18.0,18.0,
4212,33.0,16.0,17.0,19.0,
4213,7.0,3.0,2.0,3.0,
4214,11.0,6.0,5.0,6.0,
4215,23.0,13.0,12.0,11.0,
4216,40.0,18.0,19.0,21.0,
4217,9.0,5.0,5.0,5.0,
4218,21.0,9.0,10.0,12.0,
4219,3.0,2.0,4.0,4.0,
4220,10.0,7.0,6.0,8.0,
4221,4.0,1.0,4.0,1.0,
4222,6.0,2.0,3.0,1.0,
4223,14.0,9.0,6.0,11.0,
4224,18.0,8.0,8.0,14.0,
4227,1.0,0.0,,0.0,
4228,1.0,,0.0,0.0,
4229,,,,,
4230,,,,,
4231,,,,,
4232,,,,,
4233,,,,,
4234,,,,,
4235,,,,,
4236,,,,,
4237,,,,,
4238,,,,,
4239,,,,,
4240,,,,,
4241,,,,,
4242,,,,,
4243,,,,,
4244,,,,,
4245,,,,,
4246,,,,,
4247,41.0,28.0,33.0,30.0,
4248,71.0,34.0,35.0,51.0,
4249,45.0,26.0,33.0,24.0,
4250,62.0,30.0,35.0,48.0,
4251,10.0,5.0,8.0,8.0,
4252,16.0,11.0,13.0,21.0,
4261,,,,,
4262,,,,,
4263,0.0,0.0,0.0,0.0,
4264,1.0,0.0,0.0,0.0,
4265,57.0,30.0,30.0,29.0,
4266,146.0,63.0,62.0,77.0,
4267,3.0,3.0,3.0,3.0,
4268,7.0,5.0,7.0,8.0,
4269,4.0,3.0,4.0,3.0,
4270,11.0,5.0,8.0,7.0,
4271,0.0,0.0,0.0,0.0,
4272,1.0,1.0,0.0,1.0,
4273,1.0,0.0,0.0,0.0,
4274,2.0,1.0,1.0,1.0,
4275,0.0,0.0,0.0,0.0,
4276,1.0,0.0,2.0,0.0,
4279,,,,,
4280,,,,,
4283,,,,,
4284,,,,,
4285,1.0,0.0,0.0,0.0,
4286,5.0,4.0,5.0,4.0,
4287,,,,,
4288,,,,,
4289,,,,,
4290,,,,,
4295,2.0,1.0,1.0,1.0,
4296,4.0,4.0,1.0,3.0,
4299,10.0,5.0,8.0,8.0,
4300,27.0,11.0,13.0,17.0,
4301,16.0,4.0,2.0,2.0,
4302,24.0,4.0,2.0,2.0,
4307,,0.0,,,
4308,,,,0.0,
4311,3.0,2.0,2.0,2.0,
4312,7.0,4.0,3.0,4.0,
4313,3.0,1.0,1.0,2.0,
4314,5.0,2.0,2.0,2.0,
4315,0.0,0.0,1.0,1.0,
4316,2.0,1.0,1.0,1.0,
4329,,,,,
4330,,,,,
4331,,,,,
4332,,,,,
4333,2.0,2.0,19.0,14.0,
4334,3.0,2.0,3.0,3.0,
4337,15.0,14.0,9.0,9.0,
4338,31.0,14.0,11.0,13.0,
4339,1.0,1.0,0.0,1.0,
4340,2.0,2.0,2.0,2.0,
4341,1.0,3.0,3.0,5.0,
4342,4.0,8.0,10.0,13.0,
4343,1.0,2.0,2.0,1.0,
4344,2.0,8.0,3.0,10.0,
4351,6.0,3.0,3.0,11.0,
4352,8.0,4.0,5.0,6.0,
4353,2.0,1.0,0.0,1.0,
4354,1.0,1.0,0.0,1.0,
4355,3.0,2.0,2.0,2.0,
4356,9.0,3.0,4.0,3.0,
4365,2.0,1.0,1.0,1.0,
4366,3.0,2.0,2.0,2.0,
4377,2.0,1.0,2.0,2.0,
4378,6.0,3.0,4.0,4.0,
4379,27.0,13.0,25.0,14.0,
4380,50.0,26.0,37.0,28.0,
4381,7.0,3.0,6.0,3.0,
4382,19.0,7.0,12.0,7.0,
4385,8.0,4.0,6.0,3.0,
4386,13.0,6.0,8.0,6.0,
4387,14.0,7.0,8.0,6.0,
4388,34.0,17.0,18.0,20.0,
4389,0.0,0.0,0.0,0.0,
4390,2.0,0.0,0.0,0.0,
4391,2.0,1.0,3.0,2.0,
4392,6.0,3.0,6.0,10.0,
4393,8.0,3.0,6.0,6.0,
4394,30.0,16.0,22.0,29.0,
4395,3.0,0.0,1.0,1.0,
4396,4.0,1.0,2.0,2.0,
4397,,0.0,0.0,,
4398,1.0,0.0,0.0,0.0,
4399,3.0,0.0,0.0,1.0,
4400,5.0,2.0,2.0,1.0,
4401,2.0,1.0,2.0,2.0,
4402,8.0,3.0,4.0,5.0,
4403,4.0,2.0,2.0,2.0,
4404,12.0,5.0,6.0,5.0,
4405,80.0,45.0,182.0,54.0,
4406,159.0,87.0,276.0,105.0,
4407,21.0,14.0,13.0,14.0,
4408,29.0,17.0,14.0,21.0,
4409,3.0,1.0,2.0,2.0,
4410,10.0,2.0,2.0,2.0,
4411,2.0,1.0,2.0,1.0,
4412,4.0,2.0,1.0,1.0,
4413,7.0,4.0,5.0,4.0,
4414,20.0,9.0,11.0,12.0,
4415,35.0,20.0,51.0,29.0,
4416,76.0,37.0,44.0,44.0,
4433,22.0,13.0,14.0,14.0,
4434,52.0,23.0,30.0,35.0,
4435,40.0,30.0,25.0,32.0,
4436,66.0,35.0,34.0,43.0,
4437,8.0,5.0,4.0,4.0,
4438,16.0,8.0,11.0,14.0,
4439,6.0,5.0,6.0,5.0,
4440,24.0,11.0,14.0,14.0,
4441,24.0,16.0,17.0,13.0,
4442,37.0,20.0,19.0,24.0,
4447,25.0,15.0,16.0,15.0,
4448,43.0,22.0,21.0,22.0,
4449,54.0,31.0,29.0,32.0,
4450,80.0,42.0,40.0,44.0,
4451,,,,,
4452,,,,,
4453,,,,,
4454,320.0,180.0,1590.0,210.0,
4455,2.0,,,,
4456,134.0,75.0,687.0,90.0,
4457,,,,,
4458,56.0,31.0,230.0,29.0,
4459,,,,,
4460,344.0,178.0,1430.0,189.0,
4461,,,,,
4462,56.0,33.0,296.0,42.0,
4463,,,,,
4464,82.0,44.0,76.0,46.0,
4465,,,,,
4466,122.0,64.0,458.0,68.0,
4467,,,,,
4468,89.0,49.0,357.0,51.0,
4469,2.0,,,,
4470,75.0,45.0,339.0,46.0,
4471,0.0,,,,
4472,209.0,109.0,533.0,139.0,
4473,92.0,60.0,131.0,55.0,
4474,253.0,150.0,288.0,162.0,
4475,,,,,
4476,226.0,126.0,1045.0,133.0,
4479,,,,,
4480,,,,,
4503,10.0,8.0,13.0,10.0,
4504,26.0,17.0,19.0,18.0,
4505,4.0,2.0,2.0,2.0,
4506,14.0,4.0,3.0,6.0,
4507,40.0,38.0,54.0,57.0,
4508,74.0,54.0,73.0,89.0,
4509,3.0,5.0,8.0,5.0,
4510,5.0,7.0,10.0,11.0,
4523,,0.0,5.0,6.0,
4524,0.0,0.0,13.0,19.0,
4527,,,,,
4528,,,,,
4529,,,,,
4530,,,,,
4533,3.0,3.0,3.0,3.0,
4534,6.0,4.0,4.0,4.0,
4537,,,,,
4538,19.0,11.0,89.0,12.0,
4539,,,,,
4540,15.0,10.0,71.0,10.0,
4541,,,,,
4542,,,,,
4543,,,,,
4544,,,,,
4545,16.0,9.0,2.0,1.0,
4546,31.0,14.0,5.0,2.0,
4549,45.0,24.0,27.0,31.0,
4550,82.0,38.0,42.0,51.0,
4551,19.0,10.0,13.0,12.0,
4552,21.0,12.0,14.0,15.0,
4553,6.0,3.0,2.0,3.0,
4554,8.0,3.0,2.0,3.0,
4555,11.0,5.0,5.0,4.0,
4556,26.0,11.0,11.0,9.0,
4557,2.0,1.0,2.0,1.0,
4558,14.0,3.0,6.0,4.0,
4559,1.0,0.0,1.0,0.0,
4560,1.0,0.0,1.0,0.0,
4561,1.0,0.0,0.0,0.0,
4562,1.0,0.0,0.0,1.0,
4563,1.0,0.0,0.0,1.0,
4564,2.0,1.0,0.0,6.0,
4565,1.0,0.0,1.0,0.0,
4566,4.0,1.0,1.0,1.0,
4569,2.0,1.0,1.0,1.0,
4570,3.0,2.0,2.0,1.0,
4571,16.0,12.0,10.0,13.0,
4572,40.0,21.0,24.0,34.0,
4573,3.0,1.0,1.0,1.0,
4574,10.0,3.0,2.0,6.0,
4575,13.0,6.0,9.0,8.0,
4576,39.0,14.0,18.0,22.0,
4577,7.0,3.0,3.0,3.0,
4578,17.0,6.0,7.0,7.0,
4579,2.0,1.0,2.0,2.0,
4580,3.0,1.0,2.0,2.0,
4581,1.0,1.0,1.0,1.0,
4582,4.0,2.0,2.0,2.0,
4583,2.0,1.0,1.0,0.0,
4584,3.0,2.0,1.0,1.0,
4585,1.0,2.0,0.0,0.0,
4586,4.0,2.0,1.0,2.0,
4587,6.0,4.0,3.0,4.0,
4588,11.0,5.0,6.0,9.0,
4589,,,,,
4590,0.0,0.0,0.0,0.0,
4601,136.0,80.0,116.0,99.0,
4602,277.0,129.0,177.0,165.0,
4607,79.0,43.0,47.0,46.0,
4608,179.0,77.0,77.0,93.0,
4621,10.0,3.0,3.0,4.0,
4622,20.0,9.0,9.0,11.0,
4623,47.0,27.0,43.0,28.0,
4624,109.0,56.0,70.0,60.0,
4625,8.0,4.0,4.0,5.0,
4626,20.0,8.0,7.0,8.0,
4627,108.0,58.0,64.0,71.0,
4628,236.0,106.0,115.0,136.0,
4629,11.0,5.0,4.0,8.0,
4630,34.0,15.0,14.0,15.0,
4631,8.0,6.0,7.0,6.0,
4632,24.0,12.0,12.0,13.0,
4635,135.0,86.0,154.0,105.0,
4636,278.0,174.0,234.0,217.0,
4637,63.0,33.0,37.0,42.0,
4638,74.0,36.0,34.0,44.0,
4645,115.0,69.0,69.0,79.0,
4646,240.0,121.0,125.0,163.0,
4649,143.0,85.0,91.0,92.0,
4650,268.0,140.0,144.0,162.0,
4655,28.0,17.0,19.0,15.0,
4656,54.0,28.0,32.0,35.0,
4667,18.0,12.0,14.0,12.0,
4668,41.0,25.0,28.0,32.0,
4669,15.0,8.0,8.0,8.0,
4670,80.0,32.0,30.0,38.0,
4671,0.0,0.0,5.0,7.0,
4672,0.0,0.0,11.0,17.0,
4673,216.0,125.0,725.0,193.0,
4674,529.0,281.0,1199.0,465.0,
4675,24.0,57.0,98.0,19.0,
4676,47.0,118.0,278.0,62.0,
4677,12.0,6.0,9.0,12.0,
4678,23.0,13.0,15.0,16.0,
4697,77.0,49.0,69.0,62.0,
4698,194.0,97.0,95.0,113.0,
4717,47.0,26.0,34.0,34.0,
4718,88.0,47.0,50.0,61.0,
4733,105.0,56.0,66.0,63.0,
4734,166.0,78.0,79.0,90.0,
4737,99.0,61.0,70.0,71.0,
4738,201.0,103.0,117.0,129.0,
4739,21.0,8.0,13.0,13.0,
4740,52.0,18.0,28.0,33.0,
4745,22.0,11.0,12.0,10.0,
4746,36.0,18.0,22.0,27.0,
4749,5.0,3.0,4.0,4.0,
4750,8.0,4.0,5.0,6.0,
4751,16.0,7.0,8.0,8.0,
4752,30.0,13.0,14.0,18.0,
4755,93.0,48.0,56.0,55.0,
4756,158.0,81.0,89.0,107.0,
4759,33.0,17.0,21.0,19.0,
4760,65.0,28.0,33.0,35.0,
4763,3.0,1.0,2.0,4.0,
4764,7.0,4.0,4.0,5.0,
4765,36.0,18.0,22.0,24.0,
4766,79.0,34.0,39.0,47.0,
4767,15.0,8.0,10.0,9.0,
4768,32.0,12.0,11.0,13.0,
4773,31.0,17.0,22.0,16.0,
4774,53.0,28.0,30.0,33.0,
4777,5.0,3.0,3.0,5.0,
4778,32.0,13.0,10.0,19.0,
4785,23.0,10.0,12.0,12.0,
4786,50.0,21.0,23.0,29.0,
4795,4.0,2.0,4.0,2.0,
4796,21.0,8.0,12.0,13.0,
4797,2.0,0.0,1.0,1.0,
4798,8.0,2.0,3.0,5.0,
4799,6.0,4.0,6.0,4.0,
4800,13.0,7.0,10.0,8.0,
4803,1.0,1.0,1.0,1.0,
4804,19.0,7.0,4.0,6.0,
4805,2.0,2.0,2.0,2.0,
4806,14.0,11.0,11.0,7.0,
4807,3.0,1.0,1.0,0.0,
4808,6.0,3.0,2.0,2.0,
4821,5.0,4.0,5.0,3.0,
4822,38.0,26.0,30.0,31.0,
4831,15.0,9.0,12.0,11.0,
4832,32.0,16.0,20.0,22.0,
4833,91.0,55.0,70.0,72.0,
4834,138.0,76.0,86.0,105.0,
4835,25.0,13.0,15.0,14.0,
4836,45.0,20.0,24.0,27.0,
4837,1.0,1.0,2.0,1.0,
4838,7.0,5.0,3.0,3.0,
4839,2.0,1.0,1.0,1.0,
4840,4.0,1.0,1.0,4.0,
4845,0.0,0.0,0.0,0.0,
4846,1.0,1.0,0.0,1.0,
4847,12.0,7.0,10.0,13.0,
4848,17.0,10.0,11.0,11.0,
4849,67.0,37.0,42.0,39.0,
4850,130.0,60.0,61.0,73.0,
4855,3.0,2.0,2.0,2.0,
4856,7.0,3.0,5.0,6.0,
4865,5.0,3.0,4.0,3.0,
4866,9.0,5.0,7.0,7.0,
4871,58.0,31.0,36.0,39.0,
4872,97.0,48.0,49.0,54.0,
4873,2.0,1.0,1.0,1.0,
4874,7.0,3.0,2.0,3.0,
4875,1.0,1.0,1.0,2.0,
4876,3.0,2.0,2.0,4.0,
4879,2.0,1.0,1.0,0.0,
4880,5.0,1.0,1.0,1.0,
4883,4.0,3.0,4.0,2.0,
4884,11.0,6.0,6.0,5.0,
4887,5.0,2.0,1.0,2.0,
4888,7.0,3.0,2.0,2.0,
4895,10.0,4.0,4.0,7.0,
4896,17.0,8.0,8.0,13.0,
4901,4.0,1.0,2.0,3.0,
4902,9.0,3.0,4.0,5.0,
4903,10.0,4.0,7.0,5.0,
4904,14.0,8.0,9.0,8.0,
4907,27.0,17.0,23.0,13.0,
4908,45.0,23.0,31.0,20.0,
4909,29.0,16.0,24.0,26.0,
4910,64.0,27.0,40.0,46.0,
4919,9.0,3.0,2.0,3.0,
4920,16.0,7.0,5.0,8.0,
4921,3.0,1.0,2.0,1.0,
4922,11.0,3.0,4.0,3.0,
4925,136.0,70.0,80.0,75.0,
4926,221.0,118.0,125.0,129.0,
4929,141.0,70.0,90.0,94.0,
4930,232.0,118.0,129.0,157.0,
4935,119.0,60.0,74.0,65.0,
4936,333.0,167.0,170.0,193.0,
4937,14.0,7.0,7.0,9.0,
4938,41.0,19.0,16.0,22.0,
4939,6.0,2.0,1.0,1.0,
4940,9.0,2.0,3.0,3.0,
4943,21.0,8.0,8.0,8.0,
4944,44.0,18.0,16.0,21.0,
4945,6.0,1.0,1.0,1.0,
4946,11.0,3.0,1.0,2.0,
4949,6.0,3.0,3.0,3.0,
4950,10.0,5.0,5.0,6.0,
4951,5.0,1.0,1.0,2.0,
4952,8.0,2.0,3.0,2.0,
4955,8.0,4.0,5.0,5.0,
4956,33.0,10.0,14.0,15.0,
4959,6.0,3.0,3.0,3.0,
4960,20.0,7.0,7.0,10.0,
4969,57.0,29.0,35.0,44.0,
4970,96.0,55.0,56.0,58.0,
4971,5.0,2.0,3.0,3.0,
4972,11.0,6.0,4.0,5.0,
4973,4.0,1.0,2.0,1.0,
4974,10.0,3.0,3.0,3.0,
4977,12.0,4.0,3.0,4.0,
4978,42.0,17.0,15.0,21.0,
4981,2.0,1.0,1.0,1.0,
4982,7.0,2.0,2.0,2.0,
4983,25.0,13.0,22.0,15.0,
4984,63.0,31.0,30.0,36.0,
4985,9.0,4.0,4.0,5.0,
4986,20.0,12.0,8.0,13.0,
4987,57.0,25.0,28.0,29.0,
4988,116.0,54.0,54.0,59.0,
4993,12.0,7.0,6.0,9.0,
4994,28.0,14.0,13.0,19.0,
4997,31.0,16.0,20.0,21.0,
4998,88.0,45.0,51.0,53.0,
4999,4.0,1.0,1.0,1.0,
5000,6.0,2.0,2.0,2.0,
5003,5.0,2.0,1.0,1.0,
5004,8.0,3.0,2.0,2.0,
5007,23.0,12.0,16.0,16.0,
5008,39.0,20.0,23.0,27.0,
5013,100.0,45.0,49.0,55.0,
5014,255.0,121.0,116.0,140.0,
5017,14.0,6.0,7.0,8.0,
5018,26.0,11.0,12.0,17.0,
5019,58.0,30.0,34.0,38.0,
5020,114.0,57.0,54.0,58.0,
5023,14.0,5.0,7.0,5.0,
5024,29.0,10.0,14.0,11.0,
5025,20.0,9.0,15.0,11.0,
5026,44.0,19.0,23.0,24.0,
5035,,,,,
5036,0.0,0.0,0.0,0.0,
5037,1.0,1.0,1.0,4.0,
5038,6.0,2.0,3.0,6.0,
5039,,,,,
5040,3.0,0.0,1.0,0.0,
5041,0.0,0.0,0.0,2.0,
5042,1.0,1.0,1.0,1.0,
5043,9.0,5.0,5.0,5.0,
5044,12.0,6.0,5.0,7.0,
5045,4.0,2.0,2.0,2.0,
5046,6.0,3.0,3.0,5.0,
5047,1.0,0.0,1.0,0.0,
5048,3.0,2.0,2.0,2.0,
5049,1.0,0.0,0.0,0.0,
5050,1.0,1.0,2.0,2.0,
5051,19.0,10.0,9.0,10.0,
5052,51.0,25.0,22.0,31.0,
5053,1.0,1.0,0.0,0.0,
5054,3.0,2.0,1.0,1.0,
5055,16.0,7.0,10.0,9.0,
5056,23.0,13.0,11.0,14.0,
5057,2.0,1.0,1.0,0.0,
5058,1.0,0.0,0.0,2.0,
5059,1.0,0.0,0.0,0.0,
5060,2.0,1.0,1.0,1.0,
5061,0.0,0.0,0.0,0.0,
5062,1.0,0.0,0.0,0.0,
5063,9.0,4.0,5.0,3.0,
5064,24.0,11.0,14.0,17.0,
5065,3.0,1.0,1.0,1.0,
5066,3.0,1.0,1.0,2.0,
5071,84.0,53.0,52.0,60.0,
5072,112.0,64.0,65.0,86.0,
5095,121.0,73.0,70.0,71.0,
5096,216.0,111.0,112.0,137.0,
5097,78.0,44.0,55.0,50.0,
5098,197.0,105.0,102.0,118.0,
5101,259.0,164.0,182.0,165.0,
5102,724.0,366.0,406.0,471.0,
5103,22.0,9.0,13.0,11.0,
5104,53.0,22.0,23.0,31.0,
5107,8.0,1.0,1.0,2.0,
5108,19.0,2.0,3.0,3.0,
5111,5.0,4.0,4.0,4.0,
5112,57.0,32.0,38.0,42.0,
5115,80.0,54.0,49.0,73.0,
5116,150.0,80.0,76.0,97.0,
5117,6.0,4.0,4.0,7.0,
5118,20.0,11.0,13.0,17.0,
5125,5.0,2.0,1.0,2.0,
5126,13.0,5.0,2.0,2.0,
5127,26.0,17.0,19.0,20.0,
5128,80.0,35.0,39.0,44.0,
5129,4.0,4.0,2.0,5.0,
5130,42.0,18.0,20.0,30.0,
5141,11.0,5.0,7.0,8.0,
5142,20.0,12.0,10.0,12.0,
5177,43.0,23.0,29.0,36.0,
5178,99.0,53.0,59.0,76.0,
5181,199.0,120.0,139.0,163.0,
5182,435.0,230.0,259.0,323.0,
5187,13.0,6.0,7.0,10.0,
5188,32.0,17.0,20.0,30.0,
5201,2.0,1.0,1.0,1.0,
5202,3.0,1.0,2.0,4.0,
5203,30.0,15.0,22.0,17.0,
5204,47.0,22.0,28.0,28.0,
5205,2.0,1.0,0.0,0.0,
5206,3.0,1.0,0.0,1.0,
5207,3.0,1.0,1.0,1.0,
5208,6.0,1.0,1.0,1.0,
5209,196.0,115.0,136.0,146.0,
5210,408.0,211.0,225.0,252.0,
5219,2.0,0.0,0.0,0.0,
5220,3.0,1.0,0.0,2.0,
5225,11.0,5.0,7.0,6.0,
5226,28.0,14.0,12.0,13.0,
5227,28.0,18.0,23.0,24.0,
5228,86.0,47.0,48.0,51.0,
5231,8.0,3.0,4.0,4.0,
5232,20.0,9.0,8.0,8.0,
5259,2.0,1.0,4.0,4.0,
5260,6.0,2.0,3.0,9.0,
5261,1.0,1.0,1.0,1.0,
5262,2.0,1.0,1.0,2.0,
5263,1.0,1.0,0.0,1.0,
5264,5.0,1.0,1.0,1.0,
5265,11.0,6.0,6.0,6.0,
5266,21.0,9.0,9.0,8.0,
5267,1.0,0.0,0.0,0.0,
5268,2.0,0.0,0.0,0.0,
5269,1.0,0.0,1.0,1.0,
5270,2.0,2.0,3.0,3.0,
5271,0.0,0.0,0.0,0.0,
5272,1.0,0.0,0.0,1.0,
5273,0.0,1.0,1.0,1.0,
5274,2.0,0.0,0.0,1.0,
5275,33.0,19.0,19.0,23.0,
5276,56.0,29.0,27.0,37.0,
5277,7.0,3.0,4.0,3.0,
5278,13.0,5.0,4.0,4.0,
5279,6.0,2.0,2.0,1.0,
5280,8.0,2.0,2.0,3.0,
5281,12.0,6.0,6.0,5.0,
5282,21.0,8.0,8.0,8.0,
5283,24.0,12.0,18.0,16.0,
5284,46.0,25.0,23.0,26.0,
5285,94.0,53.0,58.0,59.0,
5286,192.0,88.0,89.0,105.0,
5287,11.0,5.0,6.0,7.0,
5288,18.0,8.0,6.0,9.0,
5289,3.0,1.0,1.0,0.0,
5290,6.0,2.0,2.0,1.0,
5291,3.0,1.0,2.0,2.0,
5292,3.0,2.0,3.0,3.0,
5293,4.0,1.0,0.0,1.0,
5294,4.0,1.0,1.0,1.0,
5297,12.0,1.0,7.0,7.0,
5298,100.0,41.0,38.0,57.0,
5305,7.0,1.0,2.0,2.0,
5306,38.0,11.0,13.0,20.0,
5313,10.0,5.0,4.0,4.0,
5314,23.0,9.0,8.0,8.0,
5319,12.0,3.0,4.0,4.0,
5320,31.0,11.0,11.0,19.0,
5321,14.0,6.0,8.0,10.0,
5322,70.0,37.0,44.0,64.0,
5323,8.0,3.0,2.0,3.0,
5324,33.0,13.0,15.0,22.0,
5325,120.0,61.0,66.0,63.0,
5326,262.0,130.0,135.0,163.0,
5343,24.0,14.0,15.0,14.0,
5344,64.0,32.0,35.0,41.0,
5355,38.0,28.0,21.0,22.0,
5356,89.0,41.0,48.0,60.0,
5359,198.0,112.0,125.0,139.0,
5360,594.0,294.0,310.0,376.0,
5361,47.0,22.0,29.0,32.0,
5362,140.0,70.0,71.0,87.0,
5365,9.0,5.0,5.0,2.0,
5366,30.0,15.0,17.0,11.0,
5367,4.0,0.0,7.0,8.0,
5368,12.0,1.0,25.0,31.0,
5369,9.0,4.0,5.0,5.0,
5370,26.0,10.0,11.0,12.0,
5377,16.0,6.0,8.0,8.0,
5378,37.0,15.0,17.0,23.0,
5379,11.0,7.0,7.0,6.0,
5380,18.0,9.0,9.0,12.0,
5381,2.0,1.0,1.0,2.0,
5382,4.0,2.0,1.0,1.0,
5383,0.0,0.0,0.0,0.0,
5384,1.0,0.0,0.0,0.0,
5385,28.0,17.0,20.0,31.0,
5386,70.0,35.0,40.0,46.0,
5387,68.0,41.0,41.0,48.0,
5388,166.0,85.0,86.0,101.0,
5389,25.0,13.0,15.0,16.0,
5390,38.0,19.0,19.0,22.0,
5391,21.0,12.0,13.0,12.0,
5392,42.0,20.0,25.0,26.0,
5393,39.0,21.0,24.0,27.0,
5394,87.0,40.0,36.0,47.0,
5395,2.0,1.0,0.0,0.0,
5396,5.0,1.0,1.0,0.0,
5397,1.0,1.0,1.0,1.0,
5398,5.0,2.0,2.0,1.0,
5399,1.0,1.0,0.0,1.0,
5400,2.0,1.0,1.0,2.0,
5409,1.0,1.0,0.0,0.0,
5410,18.0,5.0,8.0,16.0,
5411,7.0,4.0,3.0,2.0,
5412,16.0,6.0,5.0,4.0,
5437,27.0,15.0,14.0,16.0,
5438,48.0,23.0,23.0,31.0,
5439,3.0,1.0,1.0,1.0,
5440,4.0,1.0,1.0,2.0,
5441,1.0,0.0,0.0,0.0,
5442,1.0,0.0,0.0,0.0,
5443,2.0,1.0,1.0,2.0,
5444,5.0,2.0,3.0,4.0,
5445,13.0,8.0,15.0,13.0,
5446,32.0,17.0,21.0,32.0,
5447,2.0,1.0,2.0,1.0,
5448,5.0,1.0,2.0,2.0,
5449,1.0,1.0,1.0,1.0,
5450,1.0,1.0,1.0,0.0,
5451,0.0,0.0,0.0,0.0,
5452,1.0,0.0,1.0,1.0,
5461,25.0,10.0,9.0,7.0,
5462,42.0,14.0,13.0,15.0,
5463,109.0,48.0,41.0,36.0,
5464,124.0,55.0,44.0,50.0,
5465,35.0,21.0,20.0,24.0,
5466,83.0,45.0,51.0,57.0,
5467,34.0,20.0,20.0,19.0,
5468,72.0,39.0,37.0,43.0,
5491,1.0,0.0,0.0,1.0,
5492,3.0,2.0,2.0,2.0,
5493,4.0,0.0,1.0,1.0,
5494,14.0,3.0,2.0,3.0,
5495,4.0,0.0,0.0,1.0,
5496,10.0,2.0,2.0,2.0,
5497,16.0,9.0,11.0,18.0,
5498,53.0,30.0,31.0,44.0,
5499,14.0,2.0,8.0,15.0,
5500,33.0,4.0,16.0,23.0,
5501,47.0,23.0,31.0,31.0,
5502,120.0,65.0,69.0,80.0,
5505,22.0,12.0,12.0,13.0,
