,Q1,Q2,Q3,Q4,2018
3239,19.0,11.0,10.0,7.0,
3240,23.0,13.0,13.0,15.0,
3241,16.0,13.0,7.0,18.0,
3242,22.0,11.0,8.0,11.0,
3243,20.0,12.0,12.0,16.0,
3244,33.0,17.0,16.0,19.0,
3245,22.0,13.0,12.0,11.0,
3246,39.0,26.0,19.0,23.0,
3247,14.0,6.0,6.0,6.0,
3248,19.0,9.0,11.0,13.0,
3249,11.0,5.0,6.0,4.0,
3250,17.0,5.0,6.0,7.0,
3251,24.0,12.0,12.0,10.0,
3252,36.0,17.0,17.0,21.0,
3253,9.0,3.0,4.0,5.0,
3254,14.0,7.0,7.0,8.0,
3255,45.0,28.0,33.0,26.0,
3256,60.0,33.0,34.0,39.0,
3257,41.0,23.0,26.0,24.0,
3258,73.0,37.0,35.0,39.0,
3259,10.0,10.0,5.0,6.0,
3260,14.0,8.0,7.0,10.0,
3261,3.0,2.0,2.0,2.0,
3262,11.0,4.0,5.0,5.0,
3263,5.0,2.0,1.0,1.0,
3264,13.0,5.0,4.0,5.0,
3265,28.0,15.0,13.0,12.0,
3266,32.0,17.0,16.0,16.0,
3267,16.0,8.0,8.0,10.0,
3268,40.0,17.0,16.0,30.0,
3269,2.0,1.0,0.0,1.0,
3270,3.0,1.0,1.0,1.0,
3271,3.0,1.0,1.0,1.0,
3272,7.0,2.0,2.0,2.0,
3273,7.0,4.0,4.0,8.0,
3274,7.0,4.0,5.0,6.0,
3275,3.0,0.0,0.0,0.0,
3276,4.0,0.0,0.0,0.0,
3277,3.0,0.0,0.0,0.0,
3278,3.0,0.0,0.0,0.0,
3279,5.0,1.0,3.0,2.0,
3280,10.0,2.0,6.0,9.0,
3281,8.0,3.0,3.0,3.0,
3282,14.0,5.0,4.0,8.0,
3283,0.0,0.0,0.0,4.0,
3284,1.0,0.0,0.0,0.0,
3285,3.0,0.0,0.0,0.0,
3286,4.0,0.0,0.0,0.0,
3287,4.0,0.0,1.0,1.0,
3288,4.0,1.0,1.0,1.0,
3289,2.0,0.0,,,
3290,3.0,0.0,0.0,0.0,
3291,2.0,0.0,0.0,0.0,
3292,2.0,0.0,0.0,0.0,
3293,89.0,49.0,54.0,54.0,
3294,134.0,68.0,74.0,80.0,
3295,59.0,32.0,35.0,30.0,
3296,85.0,46.0,48.0,52.0,
3297,84.0,49.0,54.0,52.0,
3298,123.0,68.0,68.0,79.0,
3299,19.0,10.0,10.0,10.0,
3300,39.0,15.0,15.0,18.0,
3301,49.0,27.0,24.0,30.0,
3302,80.0,35.0,31.0,51.0,
3303,0.0,0.0,0.0,0.0,
3304,1.0,0.0,0.0,0.0,
3305,2.0,1.0,1.0,1.0,
3306,4.0,2.0,3.0,2.0,
3307,6.0,2.0,2.0,3.0,
3308,10.0,4.0,3.0,3.0,
3309,3.0,0.0,2.0,0.0,
3310,2.0,0.0,0.0,0.0,
3311,1.0,0.0,0.0,0.0,
3312,3.0,0.0,0.0,0.0,
3313,10.0,5.0,6.0,9.0,
3314,18.0,11.0,9.0,12.0,
3315,8.0,2.0,2.0,2.0,
3316,9.0,4.0,5.0,4.0,
3317,9.0,2.0,2.0,3.0,
3318,29.0,7.0,6.0,7.0,
3319,15.0,8.0,11.0,11.0,
3320,36.0,17.0,19.0,24.0,
3321,8.0,2.0,2.0,2.0,
3322,13.0,5.0,7.0,7.0,
3323,3.0,4.0,4.0,4.0,
3324,16.0,8.0,8.0,9.0,
3327,55.0,36.0,37.0,39.0,
3328,140.0,67.0,77.0,86.0,
3329,7.0,5.0,6.0,6.0,
3330,16.0,11.0,15.0,13.0,
3331,11.0,10.0,14.0,11.0,
3332,29.0,16.0,18.0,20.0,
3333,46.0,26.0,28.0,25.0,
3334,119.0,63.0,58.0,68.0,
3335,5.0,2.0,2.0,2.0,
3336,13.0,4.0,3.0,3.0,
3337,6.0,4.0,5.0,6.0,
