,StopID,Location,Address,City,Zipcode,Juris_y,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
41,2978,MESA DR & 10TH ST,406 E 10TH ST,Mesa,85203,Mesa,Weekday,2,2,2,2,0,2,1,0,0,0,0,0,0
42,5500,BROWN RD & MESA DR,352 E BROWN RD,Globe,85201,Mesa,Weekend,6,5,5,5,3,3,6,12,6,7,6,5,6
43,5500,BROWN RD & MESA DR,352 E BROWN RD,Globe,85201,Mesa,Weekday,24,24,25,23,12,16,20,43,19,23,25,19,19
44,5505,PASADENA & CENTER ST,132 E BROWN RD,Globe,85201,Mesa,Weekend,0,0,0,0,0,0,0,0,,0,0,0,0
45,5505,PASADENA & CENTER ST,132 E BROWN RD,Globe,85201,Mesa,Weekday,1,1,1,2,0,1,1,1,0,0,0,1,1
46,4499,CENTER ST & BROWN ST,35 W BROWN RD,Globe,85201,Mesa,Weekend,0,0,0,1,0,0,0,1,0,0,0,0,1
47,4499,CENTER ST & BROWN ST,35 W BROWN RD,Globe,85201,Mesa,Weekday,3,3,3,5,4,2,3,6,2,2,2,2,3
48,4492,CENTER ST & 8TH PL,860 N CENTER ST,Globe,85201,Mesa,Weekend,0,0,0,1,0,1,1,1,0,0,0,0,0
49,4492,CENTER ST & 8TH PL,860 N CENTER ST,Globe,85201,Mesa,Weekday,7,7,7,5,3,3,3,4,3,4,3,5,2
50,7619,JUNE ST & LAZONA DR,1415 E MCKELLIPS RD,Mesa,85203,Mesa,Weekend,0,0,0,0,,0,,0,,0,,0,
51,7619,JUNE ST & LAZONA DR,1415 E MCKELLIPS RD,Mesa,85203,Mesa,Weekday,1,1,1,0,0,0,1,1,0,0,0,0,0
52,5710,LAZONA DR & STAPLEY DR,1825 N STAPLEY DR,Mesa,85203,Mesa,Weekend,0,0,0,0,0,0,0,1,0,0,0,0,0
53,5710,LAZONA DR & STAPLEY DR,1825 N STAPLEY DR,Mesa,85203,Mesa,Weekday,1,1,1,1,1,1,1,2,1,1,6,2,1
54,4798,STAPLEY DR & JENSEN ST,1761 N PARSELL CIR,Mesa,85203,Mesa,Weekend,1,1,1,1,0,0,1,1,1,1,1,1,3
55,4798,STAPLEY DR & JENSEN ST,1761 N PARSELL CIR,Mesa,85203,Mesa,Weekday,4,4,4,3,3,3,4,5,3,3,5,5,3
56,4791,STAPLEY DR & MCLELLAN RD,1730 N STAPLEY DR,Mesa,85203,Mesa,Weekend,0,0,0,0,0,0,0,1,0,,,0,0
57,4791,STAPLEY DR & MCLELLAN RD,1730 N STAPLEY DR,Mesa,85203,Mesa,Weekday,2,2,2,2,1,2,2,3,2,0,0,,0
58,4797,STAPLEY DR & HALIFAX ST,1165 E HALIFAX ST,Mesa,85203,Mesa,Weekend,1,1,1,0,0,0,0,0,0,0,0,0,0
59,4797,STAPLEY DR & HALIFAX ST,1165 E HALIFAX ST,Mesa,85203,Mesa,Weekday,2,2,2,2,1,2,1,1,1,1,2,2,2
60,4795,STAPLEY DR & BROWN RD,1215 E BROWN RD,Mesa,85203,Mesa,Weekend,2,1,1,2,0,1,1,1,1,1,1,1,1
61,4795,STAPLEY DR & BROWN RD,1215 E BROWN RD,Mesa,85203,Mesa,Weekday,6,6,6,9,2,5,6,7,4,4,4,4,5
62,4796,STAPLEY DR & FAIRFIELD ST,1010 N STAPLEY DR,Mesa,85203,Mesa,Weekend,1,1,1,2,0,0,1,1,0,1,0,0,0
63,4796,STAPLEY DR & FAIRFIELD ST,1010 N STAPLEY DR,Mesa,85203,Mesa,Weekday,4,4,4,4,2,3,5,6,3,3,4,2,2
64,4794,STAPLEY DR & 8TH PL,1160 E 8TH ST,Mesa,85203,Mesa,Weekend,0,0,0,0,0,1,0,0,1,1,0,0,0
65,4794,STAPLEY DR & 8TH PL,1160 E 8TH ST,Mesa,85203,Mesa,Weekday,3,3,3,1,1,4,4,6,2,4,4,4,4
66,4793,STAPLEY DR & 6TH ST,546 N STAPLEY DR,Mesa,85203,Mesa,Weekend,0,0,0,0,0,,0,1,0,0,0,0,0
67,4793,STAPLEY DR & 6TH ST,546 N STAPLEY DR,Mesa,85203,Mesa,Weekday,1,1,1,4,1,2,2,3,1,1,2,2,2
68,4799,STAPLEY DR & UNIVERSITY DR,357 N STAPLEY DR,Mesa,85203,Mesa,Weekend,4,4,3,4,5,4,5,9,6,7,12,9,8
69,4799,STAPLEY DR & UNIVERSITY DR,357 N STAPLEY DR,Mesa,85203,Mesa,Weekday,20,20,21,27,19,20,22,33,18,26,54,48,34
70,4792,STAPLEY DR & 2ND ST,150 N STAPLEY DR,Mesa,85203,Mesa,Weekend,1,1,1,1,0,0,1,1,0,1,1,1,1
71,4792,STAPLEY DR & 2ND ST,150 N STAPLEY DR,Mesa,85203,Mesa,Weekday,2,2,2,4,2,5,4,6,4,2,3,2,1
72,5303,STAPLEY DR & MAIN ST,1205 E MAIN ST,Mesa,85203,Mesa,Weekend,8,7,7,3,1,4,6,9,6,9,5,6,6
73,5303,STAPLEY DR & MAIN ST,1205 E MAIN ST,Mesa,85203,Mesa,Weekday,32,32,33,3,4,13,19,35,19,26,23,23,29
74,5296,STAPLEY DR & JARVIS AVE,1164 E NIELSON AVE,Mesa,85204,Mesa,Weekend,0,0,0,1,1,1,1,3,0,0,1,1,0
75,5296,STAPLEY DR & JARVIS AVE,1164 E NIELSON AVE,Mesa,85204,Mesa,Weekday,2,2,2,5,3,4,5,6,2,1,2,2,2
76,5299,STAPLEY DR & BROADWAY RD,414 S STAPLEY DR,Mesa,85204,Mesa,Weekend,6,6,6,6,5,6,8,12,7,6,8,7,6
