,X,Y,StopID,Location,Juris,Type_,Long,Lat,State,Zipcode,City,Street Address
4500,-112.099472131518,33.582654415452,2033.0,19TH AVE & PEORIA AVE,Phoenix,,-112.099472131518,33.582654415452,AZ, , , 
4501,-112.09953216286199,33.6382229879181,2034.0,19TH AVE & PHELPS RD,Phoenix,,-112.09953216286199,33.6382229879181,AZ, , , 
4502,-112.099708274304,33.6769959774823,2035.0,19TH AVE & ROSE GARDEN LN,Phoenix,,-112.099708274304,33.6769959774823,AZ, , , 
4503,-112.099585999878,33.528003998745696,2036.0,19TH AVE & ROSE LN,Phoenix,,-112.099585999878,33.528003998745696,AZ, , , 
4504,-112.099480177691,33.5933570885227,2037.0,19TH AVE & SUNNYSIDE DR,Phoenix,,-112.099480177691,33.5933570885227,AZ, , , 
4505,-112.099782719911,33.4809895298937,2038.0,19TH AVE & THOMAS RD,Phoenix,,-112.099782719911,33.4809895298937,AZ, , , 
4506,-112.09950762734199,33.6117975957248,2039.0,19TH AVE & THUNDERBIRD RD,Phoenix,,-112.09950762734199,33.6117975957248,AZ, , , 
4507,-112.099547915016,33.6297800155738,2040.0,19TH AVE & TIERRA BUENA LN,Phoenix,,-112.099547915016,33.6297800155738,AZ, , , 
4508,-112.099476900329,33.5349399697408,2041.0,19TH AVE & TUCKEY LN,Phoenix,,-112.099476900329,33.5349399697408,AZ, , , 
4509,-112.099549746923,33.655152090242,2042.0,19TH AVE & UNION HILLS DR,Phoenix,,-112.099549746923,33.655152090242,AZ, , , 
4510,-112.099654743265,33.6623732500252,2043.0,19TH AVE & UTOPIA RD,Phoenix,,-112.099654743265,33.6623732500252,AZ, , , 
4511,-112.100005999728,33.4516969993282,2044.0,19TH AVE & VAN BUREN ST,Phoenix,,-112.100005999728,33.4516969993282,AZ, , , 
4512,-112.099452696168,33.575487942855304,2045.0,19TH AVE & MOUNTAIN VIEW RD,Phoenix,,-112.099452696168,33.575487942855304,AZ, , , 
4513,-112.099644471341,33.658740743220804,2046.0,19TH AVE & WESCOTT DR,Phoenix,,-112.099644471341,33.658740743220804,AZ, , , 
4514,-112.099586806794,33.6441019468744,2047.0,19TH AVE -- BELL RD & VILLAGE DR,Phoenix,,-112.099586806794,33.6441019468744,AZ, , , 
4515,-112.09952440276,33.6153647373132,2048.0,19TH AVE -- THUNDERBIRD RD & EVANS DR,Phoenix,,-112.09952440276,33.6153647373132,AZ, , , 
4516,-112.09954400038299,33.5642959992205,2049.0,19TH AVE & ALICE AVE,Phoenix,,-112.09954400038299,33.5642959992205,AZ, , , 
4517,-112.099496611924,33.5696387953813,2052.0,19TH AVE & SUNNYSLOPE LN,Phoenix,,-112.099496611924,33.5696387953813,AZ, , , 
4518,-112.09980499986,33.4544979996572,2055.0,19TH AVE & FILLMORE ST,Phoenix,,-112.09980499986,33.4544979996572,AZ, , , 
4519,-112.099489565721,33.6040727802422,2056.0,19TH AVE & SWEETWATER AVE,Phoenix,,-112.099489565721,33.6040727802422,AZ, , , 
4520,-112.108507000457,33.669797998785,2062.0,23RD AVE & BEARDSLEY RD,Phoenix,,-112.108507000457,33.669797998785,AZ, , , 
4521,-112.108552999805,33.6667029986376,2064.0,23RD AVE & MARCO POLO RD,Phoenix,,-112.108552999805,33.6667029986376,AZ, , , 
4522,-112.03009577040599,33.451829059390505,2065.0,24TH ST & VAN BUREN ST,Phoenix,,-112.03009577040599,33.451829059390505,AZ, , , 
4523,-112.030078999952,33.52020999939,2066.0,24TH ST & MONTEBELLO AVE,Phoenix,,-112.030078999952,33.52020999939,AZ, , , 
4524,-112.030091269417,33.4542737391879,2067.0,24TH ST & TAYLOR ST,Phoenix,,-112.030091269417,33.4542737391879,AZ, , , 
4525,-112.030095000146,33.5098442893654,2069.0,24TH ST & CAMELBACK RD,Phoenix,,-112.030095000146,33.5098442893654,AZ, , , 
4526,-112.030118060061,33.5024969987649,2070.0,24TH ST & CAMPBELL AVE,Phoenix,,-112.030118060061,33.5024969987649,AZ, , , 
4527,-112.030006999621,33.4851989984689,2071.0,24TH ST & CHEERY LYNN RD,Phoenix,,-112.030006999621,33.4851989984689,AZ, , , 
4528,-112.030005999678,33.4914979985874,2073.0,24TH ST & CLARENDON AVE,Phoenix,,-112.030005999678,33.4914979985874,AZ, , , 
4529,-112.030108150529,33.498698998709806,2075.0,24TH ST & GLENROSA AVE,Phoenix,,-112.030108150529,33.498698998709806,AZ, , , 
4530,-112.03010218055701,33.505997999724805,2076.0,24TH ST & HIGHLAND AVE,Phoenix,,-112.03010218055701,33.505997999724805,AZ, , , 
4531,-112.03003658017401,33.495166276302,2077.0,24TH ST & INDIAN SCHOOL RD,Phoenix,,-112.03003658017401,33.495166276302,AZ, , , 
4532,-112.030069629948,33.4661634492698,2078.0,24TH ST & MCDOWELL RD,Phoenix,,-112.030069629948,33.4661634492698,AZ, , , 
4533,-112.030081469953,33.516982469299,2079.0,24TH ST & MISSOURI AVE,Phoenix,,-112.030081469953,33.516982469299,AZ, , , 
4534,-112.03000499915899,33.4734989988429,2081.0,24TH ST & OAK ST,Phoenix,,-112.03000499915899,33.4734989988429,AZ, , , 
4535,-112.03000399959801,33.4879989994374,2082.0,24TH ST & OSBORN RD,Phoenix,,-112.03000399959801,33.4879989994374,AZ, , , 
4536,-112.03007662982401,33.456966509358395,2083.0,24TH ST & PIERCE ST,Phoenix,,-112.03007662982401,33.456966509358395,AZ, , , 
4537,-112.030003999759,33.482798998763,2084.0,24TH ST & PINCHOT AVE,Phoenix,,-112.030003999759,33.482798998763,AZ, , , 
4538,-112.030083690483,33.458892058938105,2085.0,24TH ST & ROOSEVELT ST,Phoenix,,-112.030083690483,33.458892058938105,AZ, , , 
4539,-112.030004999848,33.4759969986648,2088.0,24TH ST & YALE ST,Phoenix,,-112.030004999848,33.4759969986648,AZ, , , 
4540,-112.02821788048401,33.5293812990336,2089.0,24TH ST -- ARIZONA BILTMORE CIR & LINCOLN DR,Phoenix,,-112.02821788048401,33.5293812990336,AZ, , , 
4541,-112.030077000221,33.5134099998346,2090.0,24TH ST & COLTER ST,Phoenix,,-112.030077000221,33.5134099998346,AZ, , , 
