FFEBRUARY 2020 MONTHLY RIDERSHIP REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE,ROUTE,CITY,Avg Full Fare,Avg Exp Fare,Avg Reduced Fare,Avg Full Fare Pass,Avg Reduced Pass,Avg Monthly Pass,Avg Free,Avg Bikes,Avg W/C, Avg Daily Boardings, Total Boardings ,Daily Revenue Miles,Total Rev. Miles,Boardings Per Rev Mile,2/19 - Avg Daily,% Difference,,,,,,,,,,,,,,,,,,,,,,
SA,Valley Metro Rail,Phx,575,0,453,"7,592","9,541","2,064","2,063",0,0,"22,288","111,447","5,708.2","28,541.0",3.9," 22,611 ",-1.4%,,,,,,,,,,,,,,,,,,,,,,
SA,Valley Metro Rail,Tem,239,0,196,"1,894","2,452","1,455",637,0,0,"6,873","34,361","1,903.7","9,518.5",3.6," 6,542 ",5.1%,,,,,,,,,,,,,,,,,,,,,,
SU,0,Phx,63,0,48,335,846,71,48,42,13,"1,411","5,646","1,193.3","4,773.1",1.2," 1,350 ",4.5%,,,,,,,,,,,,,,,,,,,,,,
SU,1,Phx,6,0,3,48,108,12,6,8,1,183,725,510.3,"2,041.2",0.4, 333 ,-45.0%,,,,,,,,,,,,,,,,,,,,,,
SU,1,Tem,0,0,0,6,4,2,1,0,0,13,51,26.1,104.4,0.5, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,3,Phx,79,0,61,594,"1,146",96,71,40,11,"2,047","8,189","1,236.1","4,944.4",1.7," 1,889 ",8.4%,,,,,,,,,,,,,,,,,,,,,,
SU,3,Tol,4,0,3,21,32,5,4,3,0,69,271,37.1,148.4,1.9, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,7,Phx,82,0,57,440,833,102,68,55,21,"1,582","6,330","2,036.0","8,144.0",0.8," 1,603 ",-1.3%,,,,,,,,,,,,,,,,,,,,,,
SU,8,Phx,24,0,32,221,504,59,30,29,7,870,"3,472","1,213.2","4,852.8",0.7, 935 ,-7.0%,,,,,,,,,,,,,,,,,,,,,,
SU,10,Phx,15,0,10,63,158,16,12,4,2,274,"1,096",303.3,"1,213.2",0.9, 280 ,-2.1%,,,,,,,,,,,,,,,,,,,,,,
