"NoName","X","Y","StopID","NextRide","Location","Juris","WaterFountain","ADA","Type_","ATIS_ID","Direction","Long","Lat","Routes","Zip","City","Address","State","AUTO_UNIQUE_ID_2020-07-27_pwewiora08_filter_bus_1000","UpdatedReverseGeocoding","TimeTaken","TransactionId","Source","ErrorMessage","Version","ComputedAPN","ComputedStreetAddress","ComputedCity","ComputedState","ComputedZip","ComputedZipPlus4"
"927","-111.874769059921","33.396497222365","5074.0","15407.0","DOBSON RD & EMERALD AVE","Mesa","No","Yes","Standard","5088.0","Southbound","-111.874769059921","33.396497222365","96","","","","",266,"1",875.0072,"","AggieReverseGeocoder","",4.01,"13442009E","1030 S DOBSON RD","Tempe","AZ","85202","2916"
"928","-111.8748236258","33.3925642916961","5080.0","15408.0","DOBSON RD & SOUTHERN AVE","Mesa","No","Yes","Standard","5094.0","Southbound","-111.8748236258","33.3925642916961","96","","","","",267,"1",953.1191,"","AggieReverseGeocoder","",4.01,"13442009G","2012 W SOUTHERN AVE","Tempe","AZ","85202","4702"
"929","-111.87485561623501","33.3887136446271","5083.0","15409.0","SOUTHERN AVE & US 60","Mesa","No","Yes","Standard","5097.0","Southbound","-111.87485561623501","33.3887136446271","96","","","","",268,"1",968.7549,"","AggieReverseGeocoder","",4.01,"13443014B","1400 S DOBSON RD","Tempe","AZ","85202","4707"
"930","-111.875658966727","33.3825666024147","5075.0","15410.0","DOBSON RD & ISABELLA AVE","Mesa","No","Yes","Standard","5089.0","Southbound","-111.875658966727","33.3825666024147","96","","","","",269,"1",968.7462,"","AggieReverseGeocoder","",4.01,"30502412","2524 W CAMPO ALEGRE CIR","Tempe","AZ","85202","5465"
"931","-111.87808732298099","33.377786719677","9092.0","15412.0","S DOBSON RD & W BASELINE RD","Mesa","No","Yes","Standard","11462.0","Southbound","-111.87808732298099","33.377786719677","96","","","","",270,"1",1000.0083,"","AggieReverseGeocoder","",4.01,"30509391","2058 S DOBSON RD","Tempe","AZ","85202","6454"
"932","-111.87961735683099","33.375184101399604","8928.0","15413.0","DOBSON & LINDNER","Mesa","No","Yes","Standard","11358.0","Southbound","-111.87961735683099","33.375184101399604","96","","","","",271,"1",953.1272,"","AggieReverseGeocoder","",4.01,"30510136","2204 S DOBSON RD","Tempe","AZ","85202","6457"
"933","-111.88040792046499","33.371591760753304","8927.0","15414.0","DOBSON & LOS LAGOS VISTA","Mesa","No","Yes","Standard","11357.0","Southbound","-111.88040792046499","33.371591760753304","96","","","","",272,"1",1031.2485,"","AggieReverseGeocoder","",4.01,"30509716","2018 W LOBO CIR","Tempe","AZ","85202","6449"
"934","-111.87756218514099","33.3670247107207","8930.0","15415.0","DOBSON & KEATING","Mesa","No","Yes","Standard","11360.0","Southbound","-111.87756218514099","33.3670247107207","96","","","","",273,"1",953.1203,"","AggieReverseGeocoder","",4.01,"30509908","2715 S SANTA BARBARA","Tempe","AZ","85202","7346"
"935","-111.87678515171301","33.3631876671723","8931.0","15416.0","DOBSON & GUADALUPE","Mesa","No","Yes","Standard","11361.0","Southbound","-111.87678515171301","33.3631876671723","96","","","","",274,"1",421.876,"","AggieReverseGeocoder","",4.01,"30286514","2039 W GUADALUPE RD","Tempe","AZ","85202","7339"
"936","-111.876694607632","33.3601852240762","8932.0","15417.0","DOBSON & PORTOBELLO","Mesa","No","Yes","Standard","11362.0","Southbound","-111.876694607632","33.3601852240762","96","","","","",275,"1",968.7629,"","AggieReverseGeocoder","",4.01,"30205365","3009 S SANTA BARBARA CIR","Tempe","AZ","85202","7966"
"992","-111.895368758504","33.3495240894637","5626.0","15899.0","ELLIOT RD & PRICE RD","Tempe","No","Yes","Standard","5640.0","Westbound","-111.895368758504","33.3495240894637","108","","","","",276,"1",2234.3812,"","AggieReverseGeocoder","",4.01,"30149006G","2100 E ELLIOT RD","Tempe","AZ","85284","1806"
"993","-111.898266934468","33.349394613543204","5628.0","15900.0","ELLIOT RD & RIVER PKWY","Tempe","No","Yes","Standard","5642.0","Westbound","-111.898266934468","33.349394613543204","108","","","","",277,"1",2000.0046,"","AggieReverseGeocoder","",4.01,"30149006G","2100 E ELLIOT RD","Tempe","AZ","85284","1806"
"994","-111.903251043326","33.3493461418104","5621.0","15901.0","ELLIOT RD & COUNTRY CLUB WY","Tempe","No","Yes","Standard","5635.0","Westbound","-111.903251043326","33.3493461418104","108 | 522","","","","",278,"1",1250.0024,"","AggieReverseGeocoder","",4.01,"30811363","1983 E BRENTRUP DR","Mesa","AZ","85283","4926"
"995","-111.90719654410101","33.349320110320804","5624.0","15902.0","ELLIOT RD & LOS FELIZ DR","Tempe","No","Yes","Standard","5638.0","Westbound","-111.90719654410101","33.349320110320804","108 | 522","","","","",279,"1",1234.3762,"","AggieReverseGeocoder","",4.01,"30149691","401 W BASELINE RD","Mesa","AZ","85283","5348"
"996","-111.911932095562","33.3492459886418","5625.0","15903.0","ELLIOT RD & MCCLINTOCK DR","Tempe","No","Yes","Standard","5639.0","Westbound","-111.911932095562","33.3492459886418","108 | 522","","","","",280,"1",1312.4986,"","AggieReverseGeocoder","",4.01,"30148003L","1760 E ELLIOT RD","Tempe","AZ","85284","1633"
"997","-111.915241636698","33.349257757867306","5630.0","15904.0","ELLIOT RD & WILLOW DR","Tempe","No","Yes","Standard","5644.0","Westbound","-111.915241636698","33.349257757867306","108 | 522","","","","",281,"1",1359.3823,"","AggieReverseGeocoder","",4.01,"30805004","7580 S WILLOW DR","Mesa","AZ","85283","5004"
"998","-111.92006014316601","33.3492960498444","5623.0","15905.0","ELLIOT RD & LAKESHORE DR","Tempe","No","Yes","Standard","5637.0","Westbound","-111.92006014316601","33.3492960498444","108 | 522","","","","",282,"1",1828.1331,"","AggieReverseGeocoder","",4.01,"30192418","1265 E BRENTRUP DR","Mesa","AZ","85283","4701"
"999","-111.92374945862","33.3492954163178","5627.0","15906.0","ELLIOT RD & RITA LN","Tempe","No","Yes","Standard","5641.0","Westbound","-111.92374945862","33.3492954163178","108 | 522","","","","",283,"1",1734.3756,"","AggieReverseGeocoder","",4.01,"30191939","7411 S RITA LN","Mesa","AZ","85283","4778"
"1000","-111.92888697727301","33.349323596034495","5629.0","15907.0","ELLIOT RD & RURAL RD","Tempe","No","Yes","Standard","5643.0","Westbound","-111.92888697727301","33.349323596034495","108","","","","",284,"1",968.7525,"","AggieReverseGeocoder","",4.01,"30147459E","7550 S RURAL RD","Mesa","AZ","85283","4659"
"1001","-111.93357223728901","33.3493146498144","5632.0","15908.0","ELLIOT RD & COLLEGE AVE","Tempe","No","Yes","Standard","5646.0","Westbound","-111.93357223728901","33.3493146498144","108","","","","",285,"1",1156.3175,"","AggieReverseGeocoder","",4.01,"30147621","7527 S COLLEGE AVE","Mesa","AZ","85283","4623"
"1002","-111.937404836505","33.3493105513329","6571.0","15909.0","MILL AVE & DATELAND DR","Tempe","No","Yes","Standard","6585.0","Westbound","-111.937404836505","33.3493105513329","108","","","","",286,"1",1109.3701,"","AggieReverseGeocoder","",4.01,"30147008B","800 E DIVOT DR","Mesa","AZ","85283","4607"
"1003","-111.939419645963","33.3493358343242","6548.0","15910.0","ELLIOT RD & DATELAND DR","Tempe","No","Yes","Standard","6562.0","Westbound","-111.939419645963","33.3493358343242","108","","","","",287,"1",687.5046,"","AggieReverseGeocoder","",4.01,"30813753","7631 S DATELAND DR","Tempe","AZ","85284","1315"
"1004","-111.94645767783301","33.3493713969088","6567.0","15911.0","ELLIOT RD & KYRENE RD","Tempe","No","Yes","Standard","6581.0","Westbound","-111.94645767783301","33.3493713969088","108","","","","",288,"1",578.1266,"","AggieReverseGeocoder","",4.01,"30190013","550 W ELLIOT RD","Tempe","AZ","85284","1200"
"1005","-111.950850939451","33.3493055535985","6569.0","15912.0","ELLIOT RD & ROOSEVELT ST","Tempe","No","Yes","Standard","6583.0","Westbound","-111.950850939451","33.3493055535985","108","","","","",289,"1",687.4986,"","AggieReverseGeocoder","",4.01,"30190022","850 W ELLIOT RD","Tempe","AZ","85284","1206"
"1006","-111.95501797377399","33.3492971454326","6565.0","15913.0","ELLIOT RD & HARDY DR","Tempe","No","Yes","Standard","6579.0","Westbound","-111.95501797377399","33.3492971454326","108","","","","",290,"1",328.1475,"","AggieReverseGeocoder","",4.01,"30146039","1010 W ELLIOT RD","Tempe","AZ","85284","1115"
"1007","-111.958891529776","33.3492864135279","6570.0","15914.0","HARDY DR & PRIEST DR","Tempe","No","Yes","Standard","6584.0","Westbound","-111.958891529776","33.3492864135279","108","","","","",291,"1",828.1078,"","AggieReverseGeocoder","",4.01,"30146155","1230 W ELLIOT RD","Tempe","AZ","85284","1100"
"1008","-111.963922458659","33.3492593628728","6568.0","13656.0","ELLIOT RD & PRIEST DR","Tempe","No","Yes","Standard","6582.0","Westbound","-111.963922458659","33.3492593628728","108 | 522","","","","",292,"1",812.5054,"","AggieReverseGeocoder","",4.01,"30141762","7530 S PRIEST DR","Mesa","AZ","85283","4301"
"1009","-111.96646928183","33.349240101545","6566.0","13657.0","ELLIOT RD & HARL AVE","Tempe","No","Yes","Standard","6580.0","Westbound","-111.96646928183","33.349240101545","108","","","","",293,"1",906.2533,"","AggieReverseGeocoder","",4.01,"30141134D","1800 W ELLIOT RD","Tempe","AZ","85284","1004"
"1010","-111.965279494029","33.3489401463307","9453.0","18443.0","W ELLIOT RD & AUTOPLEX S HARL AV","Tempe","No","Yes","Standard","12077.0","Eastbound","-111.965279494029","33.3489401463307","108","","","","",294,"1",2609.3802,"","AggieReverseGeocoder","",4.01,"30154006H","1655 W ELLIOT RD","Tempe","AZ","85284","1013"
"1011","-111.96253428868201","33.3489415963874","1280.0","15790.0","ELLIOT RD & PRIEST DR","Tempe","No","Yes","Standard","1296.0","Eastbound","-111.96253428868201","33.3489415963874","108 | 522","","","","",295,"1",828.1286,"","AggieReverseGeocoder","",4.01,"30153012P","1245 W ELLIOT RD","Tempe","AZ","85284","1113"
"1012","-111.957863466597","33.348994352023894","1281.0","15791.0","PRIEST DR & HARDY DR","Tempe","No","Yes","Standard","1297.0","Eastbound","-111.957863466597","33.348994352023894","108","","","","",296,"1",828.1215,"","AggieReverseGeocoder","",4.01,"30153062","1245 W ELLIOT RD","Tempe","AZ","85284","1113"
"1013","-111.953708782981","33.3489636814175","1275.0","15792.0","ELLIOT RD & HARDY DR","Tempe","No","Yes","Standard","1291.0","Eastbound","-111.953708782981","33.3489636814175","108","","","","",297,"1",781.2524,"","AggieReverseGeocoder","",4.01,"30153045A","995 W ELLIOT RD","Tempe","AZ","85284","1138"
"1014","-111.94947544232001","33.349035694612006","1263.0","15793.0","ELLIOT RD & ROOSEVELT ST","Tempe","No","Yes","Standard","1279.0","Eastbound","-111.94947544232001","33.349035694612006","108","","","","",298,"1",906.2584,"","AggieReverseGeocoder","",4.01,"30190010B","780 W ELLIOT RD","Tempe","AZ","85284","1210"
"1015","-111.944965172581","33.349012084635895","333.0","15794.0","ELLIOT RD & KYRENE RD","Tempe","No","Yes","Standard","349.0","Eastbound","-111.944965172581","33.349012084635895","108","","","","",299,"1",703.1257,"","AggieReverseGeocoder","",4.01,"30152982","383 W ELLIOT RD","Tempe","AZ","85284","1303"
