NoName,X,Y,OBJECTID,StopID,NextRide,Location,Juris,DateUpdated,Long,Lat,Routes,Zip,State,Address,AUTO_UNIQUE_ID_2020-07-27_cceni03_filter_bus3001,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
5197,-112.129706,33.451298,5306,1811,10326,VAN BUREN ST & 33RD AVE,Phoenix,1.54E+12,-112.129706,33.451298,3,,,,264,1,515.6288,,AggieReverseGeocoder,,4.01,10937021A,3239 W VAN BUREN ST,Avondale,AZ,85009,4817
5198,-112.1338979,33.45128333,5307,1812,10325,VAN BUREN ST & 35TH AVE,Phoenix,1.54E+12,-112.1338979,33.45128333,3,,,,265,1,234.3824,,AggieReverseGeocoder,,4.01,10938023A,3455 W VAN BUREN ST,Avondale,AZ,85009,4707
5199,-112.138306,33.451198,5308,1813,10324,VAN BUREN ST & 37TH AVE,Phoenix,1.54E+12,-112.138306,33.451198,3,,,,266,1,234.3481,,AggieReverseGeocoder,,4.01,10622001S,3653 W VAN BUREN ST,Avondale,AZ,85009,4104
5200,-112.142698,33.45121933,5309,1814,10323,VAN BUREN ST & 39TH AVE,Phoenix,1.54E+12,-112.142698,33.45121933,3,,,,267,1,218.7531,,AggieReverseGeocoder,,4.01,10616150,3865 W VAN BUREN ST,Avondale,AZ,85009,4153
5201,-112.147011,33.451316,5310,1815,10322,VAN BUREN ST & 41ST AVE,Phoenix,1.54E+12,-112.147011,33.451316,3,,,,268,1,609.3771,,AggieReverseGeocoder,,4.01,10616011,4035 W VAN BUREN ST,Avondale,AZ,85009,4056
5202,-112.151004,33.451306,5311,1816,10321,VAN BUREN ST & 43RD AVE,Phoenix,1.54E+12,-112.151004,33.451306,3,,,,269,1,625.0032,,AggieReverseGeocoder,,4.01,10616149,4141 W VAN BUREN ST,Avondale,AZ,85009,4062
5203,-112.155506,33.451278,5312,1817,10320,VAN BUREN ST & 45TH AVE,Phoenix,1.54E+12,-112.155506,33.451278,3,,,,270,1,406.2501,,AggieReverseGeocoder,,4.01,10401013,4433 W VAN BUREN ST,Phoenix,AZ,85043,3925
5204,-112.159807,33.451251,5313,1818,10319,VAN BUREN ST & 47TH AVE,Phoenix,1.54E+12,-112.159807,33.451251,3,,,,271,1,406.2455,,AggieReverseGeocoder,,4.01,10401020,4645 W VAN BUREN ST,Phoenix,AZ,85043,3924
5205,-112.16521,33.451207,5314,1819,10318,VAN BUREN ST & 49TH AVE,Phoenix,1.54E+12,-112.16521,33.451207,3,,,,272,1,390.6001,,AggieReverseGeocoder,,4.01,10402027,4855 W VAN BUREN ST,Phoenix,AZ,85043,3814
5206,-112.168305,33.451182,5315,1820,10317,VAN BUREN ST & 51ST AVE,Phoenix,1.54E+12,-112.168305,33.451182,3,,,,273,1,422.035,,AggieReverseGeocoder,,4.01,10402018,211 N 51ST AVE,Phoenix,AZ,85043,3704
5207,-112.079809,33.451354,5316,1821,10340,VAN BUREN ST & 5TH AVE,Phoenix,1.54E+12,-112.079809,33.451354,3 | 562 | 563 | 573,,,,274,1,656.1959,,AggieReverseGeocoder,,4.01,11220092A,427 W VAN BUREN ST,Phoenix,AZ,85003,1628
5208,-112.0820783,33.45130158,5317,1822,10339,VAN BUREN ST & 7TH AVE,Phoenix,1.54E+12,-112.0820783,33.45130158,3,,,,275,1,640.6275,,AggieReverseGeocoder,,4.01,11220117,223 N 7TH AVE,Phoenix,AZ,85007,2727
5209,-112.237623,33.494854,5318,1823,18645,NB 83RD AVE FS INDIAN SCHOOL RD,Phoenix,1.54E+12,-112.237623,33.494854,83,,,,276,1,718.7479,,AggieReverseGeocoder,,4.01,10220936,8220 W INDIAN SCHOOL RD,Cave Creek,AZ,85033,2905
5210,-112.237654,33.498326,5319,1825,18646,NB 83RD AVE FS GLENROSA AVE,Phoenix,1.54E+12,-112.237654,33.498326,83,,,,277,1,718.7339,,AggieReverseGeocoder,,4.01,10220396,4310 N 82ND DR,Cave Creek,AZ,85033,2202
5211,-112.107204,33.450999,5320,1827,10332,VAN BUREN ST & I-17 FWY,Phoenix,1.54E+12,-112.107204,33.450999,3,,,,278,1,234.3772,,AggieReverseGeocoder,,4.01,10932134,2201 W VAN BUREN ST,Avondale,AZ,85009,4503
5212,-112.121709,33.451147,5321,1831,10328,VAN BUREN ST & 29TH AVE,Phoenix,1.54E+12,-112.121709,33.451147,3,,,,279,1,500.0004,,AggieReverseGeocoder,,4.01,10927126,2850 W VAN BUREN ST,Avondale,AZ,85009,4901
5213,-112.125007,33.662697,5322,1849,11754,YORKSHIRE DR & 31ST AVE,Phoenix,1.54E+12,-112.125007,33.662697,27,,,,280,1,531.25,,AggieReverseGeocoder,,4.01,20609195,2929 W YORKSHIRE DR,Cave Creek,AZ,85027,3949
