,StopID,Location_x,Juris_x,Type_,Direction,Address,City,ComputedState,Zipcode,ComputedZipPlus4,OBJECTID,NextRide,Location_y,Juris_y,Photo,Routes,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2,Per Capita Income,Population,Poverty Count,Poverty Rate
0,5182.0,MESA DR & MAIN ST,Mesa,Standard,Southbound,315 E MAIN ST,Globe,AZ,85201.0,7411.0,1.0,16020.0,MESA DR & MAIN ST,Mesa,https://farm9.staticflickr.com/8719/16921707206_868c4c2c60_o.jpg,120,Weekend,7.0,7.0,6.0,4.0,7.0,6.0,8.0,12.0,5.0,10.0,11.0,9.0,8.0,19882.0,51519.0,12469.0,24.202721326112695
1,5182.0,MESA DR & MAIN ST,Mesa,Standard,Southbound,315 E MAIN ST,Globe,AZ,85201.0,7411.0,7564.0,16020.0,MESA DR & MAIN ST,Mesa,https://farm9.staticflickr.com/8719/16921707206_868c4c2c60_o.jpg,120,Weekday,42.0,42.0,44.0,49.0,31.0,31.0,36.0,79.0,38.0,56.0,55.0,48.0,44.0,19882.0,51519.0,12469.0,24.202721326112695
2,2982.0,MESA DR & MAIN ST,Mesa,LINK,Northbound,410 E MAIN ST,Mesa,AZ,85203.0,8739.0,2.0,16001.0,MESA DR & MAIN ST,Mesa,https://farm1.staticflickr.com/757/21334866928_8d4f394d3c_o.jpg,120,Weekend,7.0,6.0,6.0,4.0,4.0,5.0,6.0,10.0,5.0,9.0,6.0,6.0,7.0,24339.0,39069.0,6481.0,16.588599657017074
3,2982.0,MESA DR & MAIN ST,Mesa,LINK,Northbound,410 E MAIN ST,Mesa,AZ,85203.0,8739.0,7565.0,16001.0,MESA DR & MAIN ST,Mesa,https://farm1.staticflickr.com/757/21334866928_8d4f394d3c_o.jpg,120,Weekday,33.0,33.0,34.0,33.0,21.0,26.0,36.0,76.0,40.0,45.0,36.0,30.0,36.0,24339.0,39069.0,6481.0,16.588599657017074
4,4681.0,MESA DR & 6TH ST,Mesa,Standard,Southbound,520 N MESA DR,Globe,AZ,85201.0,5958.0,3.0,16016.0,MESA DR & 6TH ST,Mesa,https://farm8.staticflickr.com/7288/16327599203_8fd254f8b1_o.jpg,120,Weekend,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,19882.0,51519.0,12469.0,24.202721326112695
5,4681.0,MESA DR & 6TH ST,Mesa,Standard,Southbound,520 N MESA DR,Globe,AZ,85201.0,5958.0,7566.0,16016.0,MESA DR & 6TH ST,Mesa,https://farm8.staticflickr.com/7288/16327599203_8fd254f8b1_o.jpg,120,Weekday,4.0,4.0,4.0,6.0,4.0,5.0,7.0,12.0,5.0,7.0,9.0,6.0,6.0,19882.0,51519.0,12469.0,24.202721326112695
6,4682.0,MESA DR & UNIVERSITY DR,Mesa,Standard,Southbound,310 N MESA DR,Globe,AZ,85201.0,6726.0,4.0,16017.0,MESA DR & UNIVERSITY DR,Mesa,https://farm9.staticflickr.com/8622/16309951518_fd3c65683b_o.jpg,120,Weekend,4.0,4.0,4.0,2.0,4.0,3.0,5.0,7.0,3.0,6.0,5.0,4.0,6.0,19882.0,51519.0,12469.0,24.202721326112695
7,4682.0,MESA DR & UNIVERSITY DR,Mesa,Standard,Southbound,310 N MESA DR,Globe,AZ,85201.0,6726.0,7567.0,16017.0,MESA DR & UNIVERSITY DR,Mesa,https://farm9.staticflickr.com/8622/16309951518_fd3c65683b_o.jpg,120,Weekday,26.0,26.0,27.0,34.0,19.0,29.0,32.0,57.0,26.0,35.0,28.0,25.0,31.0,19882.0,51519.0,12469.0,24.202721326112695
8,4679.0,MESA DR & 1ST ST,Mesa,Standard,Southbound,307 E 1ST ST,Globe,AZ,85201.0,6707.0,5.0,16019.0,MESA DR & 1ST ST,Mesa,https://farm8.staticflickr.com/7292/15877535023_ff0dca51cb_o.jpg,120,Weekend,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,19882.0,51519.0,12469.0,24.202721326112695
9,4679.0,MESA DR & 1ST ST,Mesa,Standard,Southbound,307 E 1ST ST,Globe,AZ,85201.0,6707.0,7568.0,16019.0,MESA DR & 1ST ST,Mesa,https://farm8.staticflickr.com/7292/15877535023_ff0dca51cb_o.jpg,120,Weekday,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,19882.0,51519.0,12469.0,24.202721326112695
10,5179.0,MESA DR & 2ND AVE,Mesa,Standard,Southbound,210 S MESA DR,Apache Junction,AZ,85210.0,1606.0,6.0,16021.0,MESA DR & 2ND AVE,Mesa,https://farm8.staticflickr.com/7350/15877532883_327fdebba6_o.jpg,120,Weekend,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20268.0,40919.0,11112.0,27.1560888584765
11,5179.0,MESA DR & 2ND AVE,Mesa,Standard,Southbound,210 S MESA DR,Apache Junction,AZ,85210.0,1606.0,7569.0,16021.0,MESA DR & 2ND AVE,Mesa,https://farm8.staticflickr.com/7350/15877532883_327fdebba6_o.jpg,120,Weekday,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,20268.0,40919.0,11112.0,27.1560888584765
12,5180.0,MESA DR & BROADWAY RD,Mesa,Standard,Southbound,361 E BROADWAY RD,Apache Junction,AZ,85210.0,1620.0,7.0,16022.0,MESA DR & BROADWAY RD,Mesa,https://farm8.staticflickr.com/7606/16946694411_c198f37e9e_o.jpg,120,Weekend,3.0,3.0,3.0,2.0,3.0,4.0,4.0,6.0,1.0,2.0,2.0,3.0,3.0,20268.0,40919.0,11112.0,27.1560888584765
13,5180.0,MESA DR & BROADWAY RD,Mesa,Standard,Southbound,361 E BROADWAY RD,Apache Junction,AZ,85210.0,1620.0,7570.0,16022.0,MESA DR & BROADWAY RD,Mesa,https://farm8.staticflickr.com/7606/16946694411_c198f37e9e_o.jpg,120,Weekday,13.0,13.0,14.0,19.0,8.0,14.0,13.0,24.0,11.0,12.0,13.0,13.0,14.0,20268.0,40919.0,11112.0,27.1560888584765
14,5183.0,MESA DR & MARILYN AVE,Mesa,Standard,Southbound,640 S MESA DR,Apache Junction,AZ,85210.0,2546.0,8.0,16023.0,MESA DR & MARILYN AVE,Mesa,https://farm8.staticflickr.com/7649/16761442669_f35495e97d_o.jpg,120,Weekend,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,20268.0,40919.0,11112.0,27.1560888584765
15,5183.0,MESA DR & MARILYN AVE,Mesa,Standard,Southbound,640 S MESA DR,Apache Junction,AZ,85210.0,2546.0,7571.0,16023.0,MESA DR & MARILYN AVE,Mesa,https://farm8.staticflickr.com/7649/16761442669_f35495e97d_o.jpg,120,Weekday,5.0,5.0,5.0,7.0,5.0,6.0,6.0,6.0,2.0,3.0,2.0,2.0,2.0,20268.0,40919.0,11112.0,27.1560888584765
16,8025.0,COURY AVE & MESA DR,Mesa,Standard,Westbound,461 E AUTO CENTER DR,Mesa,AZ,85204.0,6500.0,9.0,16027.0,COURY AVE & MESA DR,Mesa,https://farm8.staticflickr.com/7419/15875093204_aa21c602a8_o.jpg,120,Weekend,,,,,0.0,2.0,0.0,,,0.0,0.0,0.0,,20956.0,69278.0,13707.0,19.785501890932185
17,8025.0,COURY AVE & MESA DR,Mesa,Standard,Westbound,461 E AUTO CENTER DR,Mesa,AZ,85204.0,6500.0,7572.0,16027.0,COURY AVE & MESA DR,Mesa,https://farm8.staticflickr.com/7419/15875093204_aa21c602a8_o.jpg,120,Weekday,5.0,5.0,5.0,5.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,20956.0,69278.0,13707.0,19.785501890932185
18,5152.0,LEWIS & COURY AVE,Mesa,Standard,Southbound,1840 S LEWIS,Apache Junction,AZ,85210.0,6234.0,11.0,15991.0,LEWIS & COURY AVE,Mesa,https://farm8.staticflickr.com/7446/16471657926_b5ac305a00_o.jpg,120,Weekend,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,20268.0,40919.0,11112.0,27.1560888584765
19,5152.0,LEWIS & COURY AVE,Mesa,Standard,Southbound,1840 S LEWIS,Apache Junction,AZ,85210.0,6234.0,7574.0,15991.0,LEWIS & COURY AVE,Mesa,https://farm8.staticflickr.com/7446/16471657926_b5ac305a00_o.jpg,120,Weekday,11.0,11.0,11.0,11.0,6.0,8.0,10.0,15.0,9.0,10.0,12.0,7.0,9.0,20268.0,40919.0,11112.0,27.1560888584765
20,438.0,JAVALINA AVE & LEWIS,Mesa,Standard,Eastbound,227 E JAVELINA AVE,Apache Junction,AZ,85210.0,6200.0,12.0,15992.0,JAVALINA AVE & LEWIS,Mesa,https://farm5.staticflickr.com/4692/24304966767_f77d944fb2_o.jpg,120,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,20268.0,40919.0,11112.0,27.1560888584765
21,438.0,JAVALINA AVE & LEWIS,Mesa,Standard,Eastbound,227 E JAVELINA AVE,Apache Junction,AZ,85210.0,6200.0,7575.0,15992.0,JAVALINA AVE & LEWIS,Mesa,https://farm5.staticflickr.com/4692/24304966767_f77d944fb2_o.jpg,120,Weekday,6.0,6.0,6.0,7.0,4.0,4.0,5.0,11.0,4.0,6.0,7.0,6.0,6.0,20268.0,40919.0,11112.0,27.1560888584765
22,3438.0,MESA DR & COURY AVE,Mesa,Standard,Northbound,461 E AUTO CENTER DR,Mesa,AZ,85204.0,6500.0,13.0,15993.0,MESA DR & COURY AVE,Mesa,https://farm8.staticflickr.com/7355/16471684796_bf1b30dd45_o.jpg,120,Weekend,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,20956.0,69278.0,13707.0,19.785501890932185
23,3438.0,MESA DR & COURY AVE,Mesa,Standard,Northbound,461 E AUTO CENTER DR,Mesa,AZ,85204.0,6500.0,7576.0,15993.0,MESA DR & COURY AVE,Mesa,https://farm8.staticflickr.com/7355/16471684796_bf1b30dd45_o.jpg,120,Weekday,24.0,24.0,24.0,28.0,16.0,18.0,18.0,31.0,15.0,21.0,22.0,18.0,16.0,20956.0,69278.0,13707.0,19.785501890932185
24,3442.0,MESA DR & FRANKLIN AVE,Mesa,Standard,Northbound,701 S MESA DR,Apache Junction,AZ,85210.0,2545.0,14.0,15998.0,MESA DR & FRANKLIN AVE,Mesa,https://farm8.staticflickr.com/7392/16496651752_0b4ce3e823_o.jpg,120,Weekend,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,20268.0,40919.0,11112.0,27.1560888584765
25,3442.0,MESA DR & FRANKLIN AVE,Mesa,Standard,Northbound,701 S MESA DR,Apache Junction,AZ,85210.0,2545.0,7577.0,15998.0,MESA DR & FRANKLIN AVE,Mesa,https://farm8.staticflickr.com/7392/16496651752_0b4ce3e823_o.jpg,120,Weekday,9.0,9.0,9.0,8.0,5.0,6.0,6.0,11.0,5.0,8.0,8.0,6.0,6.0,20268.0,40919.0,11112.0,27.1560888584765
26,3441.0,MESA DR & BROADWAY RD,Mesa,Standard,Northbound,434 E BROADWAY RD,Mesa,AZ,85204.0,2020.0,15.0,15999.0,MESA DR & BROADWAY RD,Mesa,https://farm8.staticflickr.com/7341/16309955648_913898d2f7_o.jpg,120,Weekend,2.0,2.0,2.0,2.0,2.0,1.0,3.0,6.0,2.0,5.0,3.0,3.0,3.0,20956.0,69278.0,13707.0,19.785501890932185
27,3441.0,MESA DR & BROADWAY RD,Mesa,Standard,Northbound,434 E BROADWAY RD,Mesa,AZ,85204.0,2020.0,7578.0,15999.0,MESA DR & BROADWAY RD,Mesa,https://farm8.staticflickr.com/7341/16309955648_913898d2f7_o.jpg,120,Weekday,13.0,13.0,14.0,16.0,11.0,13.0,17.0,34.0,15.0,27.0,23.0,18.0,19.0,20956.0,69278.0,13707.0,19.785501890932185
28,3440.0,MESA DR & 2ND AVE,Mesa,Standard,Northbound,144 S MESA DR,Apache Junction,AZ,85210.0,1474.0,16.0,16000.0,MESA DR & 2ND AVE,Mesa,https://farm8.staticflickr.com/7405/16496651782_b5da5ae11d_o.jpg,120,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,20268.0,40919.0,11112.0,27.1560888584765
