,X,Y,StopID,Location,Juris,Type_,Long,Lat,State,Zipcode,City,Street Address
3001,-112.098984999267,33.5529289992404,1525.0,NORTHERN AVE & 19TH AVE,Phoenix,,-112.098984999267,33.5529289992404,AZ, , , 
3002,-112.103889000325,33.55298499880461,1526.0,NORTHERN AVE & 21ST AVE,Phoenix,,-112.103889000325,33.55298499880461,AZ, , , 
3003,-112.107991999238,33.5529569993855,1527.0,NORTHERN AVE & 23RD AVE,Phoenix,,-112.107991999238,33.5529569993855,AZ, , , 
3004,-112.116507000352,33.552997999199704,1528.0,NORTHERN AVE & 27TH AVE,Phoenix,,-112.116507000352,33.552997999199704,AZ, , , 
3005,-112.12079400025299,33.5529909990826,1529.0,NORTHERN AVE & 29TH AVE,Phoenix,,-112.12079400025299,33.5529909990826,AZ, , , 
3006,-112.124707000087,33.5529989993542,1530.0,NORTHERN AVE & 31ST AVE,Phoenix,,-112.124707000087,33.5529989993542,AZ, , , 
3007,-112.12949900016399,33.552838999161,1531.0,NORTHERN AVE & 33RD AVE,Phoenix,,-112.12949900016399,33.552838999161,AZ, , , 
3008,-112.133693588345,33.5529813520509,1532.0,NORTHERN AVE & 35TH AVE,Phoenix,,-112.133693588345,33.5529813520509,AZ, , , 
3009,-112.13869,33.5529829985443,1533.0,NORTHERN AVE & 37TH AVE,Phoenix,,-112.13869000008002,33.5529829985443,AZ, , , 
3010,-112.142718000363,33.552974999257,1534.0,NORTHERN AVE & 39TH AVE,Phoenix,,-112.142718000363,33.552974999257,AZ, , , 
3011,-112.07798273952999,33.5527936487112,1535.0,NORTHERN AVE & 3RD AVE,Phoenix,,-112.07798273952999,33.5527936487112,AZ, , , 
3012,-112.22073128023399,33.4652429191418,1536.0,SB 75TH AVE FS MCDOWELL RD,Phoenix,,-112.22073128023399,33.4652429191418,AZ, , , 
3013,-112.15081599985099,33.5530009992379,1537.0,NORTHERN AVE & 43RD AVE,Phoenix,,-112.15081599985099,33.5530009992379,AZ, , , 
3014,-112.081808000138,33.5528409989263,1543.0,NORTHERN AVE & 7TH AVE,Phoenix,,-112.081808000138,33.5528409989263,AZ, , , 
3015,-112.11130699986099,33.552797999461106,1544.0,NORTHERN AVE & I-17 FWY,Phoenix,,-112.11130699986099,33.552797999461106,AZ, , , 
3016,-112.14630500014,33.552998999539,1546.0,NORTHERN AVE & 40TH DR,Phoenix,,-112.14630500014,33.552998999539,AZ, , , 
3017,-112.088902482892,33.5711678450608,1573.0,HATCHER RD & 13TH AVE,Phoenix,,-112.088902482892,33.5711678450608,AZ, , , 
3018,-112.095306000493,33.581997999176195,1574.0,PEORIA AVE & 17TH AVE,Phoenix,,-112.095306000493,33.581997999176195,AZ, , , 
3019,-112.09887942052099,33.5819520741052,1575.0,PEORIA AVE & 19TH AVE,Phoenix,,-112.09887942052099,33.5819520741052,AZ, , , 
3020,-112.220892999895,33.4608530001504,1576.0,SB 75TH AVE FS I-10 RAMP,Phoenix,,-112.220892999895,33.4608530001504,AZ, , , 
3021,-112.103501999813,33.581974999485105,1577.0,PEORIA AVE & 21ST AVE,Phoenix,,-112.103501999813,33.581974999485105,AZ, , , 
3022,-112.107307999468,33.5819199994054,1578.0,PEORIA AVE & 23RD AVE,Phoenix,,-112.107307999468,33.5819199994054,AZ, , , 
