Column1,X,Y,StopID,Location,Juris,Type_,Long,Lat,State,Zipcode,City,StreetAddress,AUTO_UNIQUE_ID_2020-07-28_czc5230_bus_4,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
5416,-112.0745859,33.40700865,7781,ED PASTOR TRANSIT CENTER WB LANE STOP 2,Phoenix,,-112.0745859,33.40700865,AZ, , , ,917,1,140.6238,,AggieReverseGeocoder,,4.01,11307123,10 W BROADWAY RD,Phoenix,AZ,85041,2405
5417,-112.0743526,33.40698509,7782,ED PASTOR TRANSIT CENTER WB LANE STOP 1,Phoenix,,-112.0743526,33.40698509,AZ, , , ,918,1,125.0013,,AggieReverseGeocoder,,4.01,11307123,10 W BROADWAY RD,Phoenix,AZ,85041,2405
5418,-111.9794536,33.60477512,565,PARADISE VALLEY TRANSIT CENTER,Phoenix,,-111.9794536,33.60477512,AZ, , , ,919,1,593.7525,,AggieReverseGeocoder,,4.01,16716270,4704 E PARADISE VILLAGE PKWY N,Phoenix,AZ,85032,6860
5419,-111.9795721,33.60461856,567,PARADISE VALLEY TRANSIT CENTER ,Phoenix,,-111.9795721,33.60461856,AZ, , , ,920,1,593.7507,,AggieReverseGeocoder,,4.01,16725003C,4610 E CACTUS RD,Phoenix,AZ,85032,7704
5420,-111.9955629,33.42134417,20009,40TH ST & UNIVERSITY DR,Phoenix,,-111.9955629,33.42134417,AZ, , , ,921,1,374.9999,,AggieReverseGeocoder,,4.01,12201069,2816 S 40TH ST,Phoenix,AZ,85040,1619
5421,-111.9952944,33.41864463,20030,40TH ST & MIAMI AVE,Phoenix,,-111.9952944,33.41864463,AZ, , , ,922,1,171.8758,,AggieReverseGeocoder,,4.01,12450011,3219 S 40TH ST,Phoenix,AZ,85040,1622
5422,-111.99554,33.41783883,20010,40TH ST & MIAMI AVE,Phoenix,,-111.99554,33.41783883,AZ, , , ,923,1,359.3758,,AggieReverseGeocoder,,4.01,12206013,3202 S 40TH ST,Phoenix,AZ,85040,1664
5423,-111.9955407,33.41455117,20011,40TH ST & ELWOOD ST,Phoenix,,-111.9955407,33.41455117,AZ, , , ,924,1,375.0025,,AggieReverseGeocoder,,4.01,12208061E,3444 S 40TH ST,Phoenix,AZ,85040,1906
5424,-111.9952917,33.41386195,20029,40TH ST & RAYMOND ST,Phoenix,,-111.9952917,33.41386195,AZ, , , ,925,1,359.3755,,AggieReverseGeocoder,,4.01,12454007C,4010 E RAYMOND ST,Phoenix,AZ,85040,1931
5425,-111.9952381,33.40789737,20028,40TH ST & BROADWAY RD,Phoenix,,-111.9952381,33.40789737,AZ, , , ,926,1,359.3756,,AggieReverseGeocoder,,4.01,12454001N,4002 E BROADWAY RD,Phoenix,AZ,85040,8802
