,Unnamed: 0,X,Y,StopID,Location,Juris,Type_,Long,Lat,Zipcode,City,Street Address
0,0,-111.82307599054501,33.4147193304186,5182.0,MESA DR & MAIN ST,Mesa,Standard,-111.82307599054501,33.4147193304186, , , 
1,1,-111.822765687811,33.4156843465566,2982.0,MESA DR & MAIN ST,Mesa,LINK,-111.822765687811,33.4156843465566, , , 
2,2,-111.822934487577,33.4257343931201,4681.0,MESA DR & 6TH ST,Mesa,Standard,-111.822934487577,33.4257343931201, , , 
3,3,-111.823047726262,33.422047998516696,4682.0,MESA DR & UNIVERSITY DR,Mesa,Standard,-111.823047726262,33.422047998516696, , , 
4,4,-111.82306940586099,33.4168833504112,4679.0,MESA DR & 1ST ST,Mesa,Standard,-111.82306940586099,33.4168833504112, , , 
5,5,-111.823097555623,33.410421331262896,5179.0,MESA DR & 2ND AVE,Mesa,Standard,-111.823097555623,33.410421331262896, , , 
6,6,-111.823089922458,33.4074277625267,5180.0,MESA DR & BROADWAY RD,Mesa,Standard,-111.823089922458,33.4074277625267, , , 
7,7,-111.823079297327,33.4031017973098,5183.0,MESA DR & MARILYN AVE,Mesa,Standard,-111.823079297327,33.4031017973098, , , 
8,8,-111.823868566666,33.3824668341569,8025.0,COURY AVE & MESA DR,Mesa,Standard,-111.823868566666,33.3824668341569, , , 
9,9,-111.828464699819,33.3822251795024,5152.0,LEWIS & COURY AVE,Mesa,Standard,-111.828464699819,33.3822251795024, , , 
10,10,-111.827483801307,33.380348306545,438.0,JAVALINA AVE & LEWIS,Mesa,Standard,-111.827483801307,33.380348306545, , , 
11,11,-111.82293846782801,33.3826046642914,3438.0,MESA DR & COURY AVE,Mesa,Standard,-111.82293846782801,33.3826046642914, , , 
12,12,-111.822832420086,33.4023387341046,3442.0,MESA DR & FRANKLIN AVE,Mesa,Standard,-111.822832420086,33.4023387341046, , , 
13,13,-111.82288032464199,33.4080023337287,3441.0,MESA DR & BROADWAY RD,Mesa,Standard,-111.82288032464199,33.4080023337287, , , 
14,14,-111.822835957329,33.4115779237804,3440.0,MESA DR & 2ND AVE,Mesa,Standard,-111.822835957329,33.4115779237804, , , 
15,15,-111.82282073613199,33.4175379166453,2979.0,MESA DR & 1ST ST,Mesa,Standard,-111.82282073613199,33.4175379166453, , , 
16,16,-111.822774285593,33.4197504857682,4678.0,MESA DR & 2ND ST,Mesa,Standard,-111.822774285593,33.4197504857682, , , 
17,17,-111.82272050022499,33.4227915534926,2983.0,MESA DR & UNIVERSITY DR,Mesa,Standard,-111.82272050022499,33.4227915534926, , , 
18,18,-111.82268269317301,33.426166560174195,2980.0,MESA DR & 6TH ST,Mesa,Standard,-111.82268269317301,33.426166560174195, , , 
19,19,-111.82263243162599,33.430312682268,2981.0,MESA DR & 8TH ST,Mesa,Standard,-111.82263243162599,33.430312682268, , , 
20,20,-111.822592020084,33.432192423379,2978.0,MESA DR & 10TH ST,Mesa,Standard,-111.822592020084,33.432192423379, , , 
21,21,-111.82304327285802,33.435690366294196,5500.0,BROWN RD & MESA DR,Mesa,Standard,-111.82304327285802,33.435690366294196, , , 
22,22,-111.828616690555,33.4350534651122,5505.0,PASADENA & CENTER ST,Mesa,Standard,-111.828616690555,33.4350534651122, , , 
23,23,-111.831408161206,33.4345569085719,4499.0,CENTER ST & BROWN ST,Mesa,Standard,-111.831408161206,33.4345569085719, , , 
24,24,-111.83144260661699,33.4308594733828,4492.0,CENTER ST & 8TH PL,Mesa,Standard,-111.83144260661699,33.4308594733828, , , 
25,25,-111.801074954184,33.45080735204,7619.0,JUNE ST & LAZONA DR,Mesa,Standard,-111.801074954184,33.45080735204, , , 
26,26,-111.80280259724199,33.4491701212933,5710.0,LAZONA DR & STAPLEY DR,Mesa,Standard,-111.80280259724199,33.4491701212933, , , 
27,27,-111.80511857211201,33.4477097090088,4798.0,STAPLEY DR & JENSEN ST,Mesa,Standard,-111.80511857211201,33.4477097090088, , , 
