,X,Y,StopID,Location,Juris,Type_,Long,Lat,State,Zipcode,City,Street Address
0,-111.82307599054501,33.4147193304186,5182.0,MESA DR & MAIN ST,Mesa,Standard,-111.82307599054501,33.4147193304186,AZ, , , 
1,-111.822765687811,33.4156843465566,2982.0,MESA DR & MAIN ST,Mesa,LINK,-111.822765687811,33.4156843465566,AZ, , , 
2,-111.822934487577,33.4257343931201,4681.0,MESA DR & 6TH ST,Mesa,Standard,-111.822934487577,33.4257343931201,AZ, , , 
3,-111.823047726262,33.422047998516696,4682.0,MESA DR & UNIVERSITY DR,Mesa,Standard,-111.823047726262,33.422047998516696,AZ, , , 
4,-111.82306940586099,33.4168833504112,4679.0,MESA DR & 1ST ST,Mesa,Standard,-111.82306940586099,33.4168833504112,AZ, , , 
5,-111.823097555623,33.410421331262896,5179.0,MESA DR & 2ND AVE,Mesa,Standard,-111.823097555623,33.410421331262896,AZ, , , 
6,-111.823089922458,33.4074277625267,5180.0,MESA DR & BROADWAY RD,Mesa,Standard,-111.823089922458,33.4074277625267,AZ, , , 
7,-111.823079297327,33.4031017973098,5183.0,MESA DR & MARILYN AVE,Mesa,Standard,-111.823079297327,33.4031017973098,AZ, , , 
8,-111.823868566666,33.3824668341569,8025.0,COURY AVE & MESA DR,Mesa,Standard,-111.823868566666,33.3824668341569,AZ, , , 
9,-111.828464699819,33.3822251795024,5152.0,LEWIS & COURY AVE,Mesa,Standard,-111.828464699819,33.3822251795024,AZ, , , 
10,-111.827483801307,33.380348306545,438.0,JAVALINA AVE & LEWIS,Mesa,Standard,-111.827483801307,33.380348306545,AZ, , , 
11,-111.82293846782801,33.3826046642914,3438.0,MESA DR & COURY AVE,Mesa,Standard,-111.82293846782801,33.3826046642914,AZ, , , 
12,-111.822832420086,33.4023387341046,3442.0,MESA DR & FRANKLIN AVE,Mesa,Standard,-111.822832420086,33.4023387341046,AZ, , , 
13,-111.82288032464199,33.4080023337287,3441.0,MESA DR & BROADWAY RD,Mesa,Standard,-111.82288032464199,33.4080023337287,AZ, , , 
14,-111.822835957329,33.4115779237804,3440.0,MESA DR & 2ND AVE,Mesa,Standard,-111.822835957329,33.4115779237804,AZ, , , 
15,-111.82282073613199,33.4175379166453,2979.0,MESA DR & 1ST ST,Mesa,Standard,-111.82282073613199,33.4175379166453,AZ, , , 
16,-111.822774285593,33.4197504857682,4678.0,MESA DR & 2ND ST,Mesa,Standard,-111.822774285593,33.4197504857682,AZ, , , 
17,-111.82272050022499,33.4227915534926,2983.0,MESA DR & UNIVERSITY DR,Mesa,Standard,-111.82272050022499,33.4227915534926,AZ, , , 
18,-111.82268269317301,33.426166560174195,2980.0,MESA DR & 6TH ST,Mesa,Standard,-111.82268269317301,33.426166560174195,AZ, , , 
19,-111.82263243162599,33.430312682268,2981.0,MESA DR & 8TH ST,Mesa,Standard,-111.82263243162599,33.430312682268,AZ, , , 
20,-111.822592020084,33.432192423379,2978.0,MESA DR & 10TH ST,Mesa,Standard,-111.822592020084,33.432192423379,AZ, , , 
21,-111.82304327285802,33.435690366294196,5500.0,BROWN RD & MESA DR,Mesa,Standard,-111.82304327285802,33.435690366294196,AZ, , , 
22,-111.828616690555,33.4350534651122,5505.0,PASADENA & CENTER ST,Mesa,Standard,-111.828616690555,33.4350534651122,AZ, , , 
23,-111.831408161206,33.4345569085719,4499.0,CENTER ST & BROWN ST,Mesa,Standard,-111.831408161206,33.4345569085719,AZ, , , 
24,-111.83144260661699,33.4308594733828,4492.0,CENTER ST & 8TH PL,Mesa,Standard,-111.83144260661699,33.4308594733828,AZ, , , 
25,-111.801074954184,33.45080735204,7619.0,JUNE ST & LAZONA DR,Mesa,Standard,-111.801074954184,33.45080735204,AZ, , , 
26,-111.80280259724199,33.4491701212933,5710.0,LAZONA DR & STAPLEY DR,Mesa,Standard,-111.80280259724199,33.4491701212933,AZ, , , 
27,-111.80511857211201,33.4477097090088,4798.0,STAPLEY DR & JENSEN ST,Mesa,Standard,-111.80511857211201,33.4477097090088,AZ, , , 
28,-111.80522083043002,33.4441285372074,4791.0,STAPLEY DR & MCLELLAN RD,Mesa,Standard,-111.80522083043002,33.4441285372074,AZ, , , 
29,-111.80529112037,33.441089413751605,4797.0,STAPLEY DR & HALIFAX ST,Mesa,Standard,-111.80529112037,33.441089413751605,AZ, , , 
30,-111.805417338394,33.4366314830577,4795.0,STAPLEY DR & BROWN RD,Mesa,Standard,-111.805417338394,33.4366314830577,AZ, , , 
31,-111.805411958697,33.433809893361,4796.0,STAPLEY DR & FAIRFIELD ST,Mesa,Standard,-111.805411958697,33.433809893361,AZ, , , 
32,-111.805406249358,33.4300153093271,4794.0,STAPLEY DR & 8TH PL,Mesa,Standard,-111.805406249358,33.4300153093271,AZ, , , 
33,-111.805417707419,33.4254549755571,4793.0,STAPLEY DR & 6TH ST,Mesa,Standard,-111.805417707419,33.4254549755571,AZ, , , 
34,-111.805414606689,33.422136200592,4799.0,STAPLEY DR & UNIVERSITY DR,Mesa,Standard,-111.805414606689,33.422136200592,AZ, , , 
35,-111.80542148907,33.4186340916769,4792.0,STAPLEY DR & 2ND ST,Mesa,Standard,-111.80542148907,33.4186340916769,AZ, , , 
36,-111.805436900532,33.414757262734604,5303.0,STAPLEY DR & MAIN ST,Mesa,Standard,-111.805436900532,33.414757262734604,AZ, , , 
37,-111.80541216339701,33.4108651078293,5296.0,STAPLEY DR & JARVIS AVE,Mesa,Standard,-111.80541216339701,33.4108651078293,AZ, , , 
38,-111.805462187148,33.4075185072117,5299.0,STAPLEY DR & BROADWAY RD,Mesa,Standard,-111.805462187148,33.4075185072117,AZ, , , 
39,-111.80548580051001,33.4038907114484,5297.0,STAPLEY DR & 6TH AVE,Mesa,Standard,-111.80548580051001,33.4038907114484,AZ, , , 
40,-111.805498007983,33.4003055379151,5298.0,STAPLEY DR & 8TH AVE,Mesa,Standard,-111.805498007983,33.4003055379151,AZ, , , 
41,-111.805583336522,33.3960442921053,5300.0,STAPLEY DR & EMERALD AVE,Mesa,Standard,-111.805583336522,33.3960442921053,AZ, , , 
42,-111.805594149011,33.3930144477176,5304.0,STAPLEY DR & SOUTHERN AVE,Mesa,Standard,-111.805594149011,33.3930144477176,AZ, , , 
