JANUARY 2020 MONTHLY RIDERSHIP REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE,ROUTE,CITY,Avg Full Fare,Avg Exp Fare,Avg Reduced Fare,Avg Full Fare Pass,Avg Reduced Pass,Avg Monthly Pass,Avg Free,Avg Bikes,Avg W/C, Avg Daily Boardings, Total Boardings ,Daily Revenue Miles,Total Rev. Miles,Boardings Per Rev Mile,1/19 - Avg Daily,% Difference,,,,,,,,,,,,,,,,,,,,,,
SA,156,Mes,2,0,2,5,7,1,2,2,1,19,72,34.7,138.6,0.5, 17 ,11.8%,,,,,,,,,,,,,,,,,,,,,,
SA,156,Phx,5,0,2,10,17,2,2,2,1,38,152,29.3,117.2,1.3, 39 ,-2.6%,,,,,,,,,,,,,,,,,,,,,,
SA,170,Gln,12,0,10,76,100,10,6,6,2,214,851,108.8,435.2,2.0, 231 ,-7.4%,,,,,,,,,,,,,,,,,,,,,,
SA,170,Phx,160,0,82,674,847,109,51,43,14,"1,923","7,688","1,226.2","4,904.8",1.6," 1,818 ",5.8%,,,,,,,,,,,,,,,,,,,,,,
SA,170,Sct,16,0,5,60,50,8,4,4,0,143,564,181.8,727.2,0.8, 227 ,-37.0%,,,,,,,,,,,,,,,,,,,,,,
SA,184,Gil,1,0,0,5,9,0,0,1,1,15,61,69.8,279.2,0.2, 15 ,0.0%,,,,,,,,,,,,,,,,,,,,,,
SA,184,Mes,7,0,13,56,85,4,6,7,3,171,680,401.4,"1,605.6",0.4, 195 ,-12.3%,,,,,,,,,,,,,,,,,,,,,,
SA,186,Gln,7,0,5,16,21,4,6,3,1,59,233,147.4,589.6,0.4, 63 ,-6.3%,,,,,,,,,,,,,,,,,,,,,,
SA,186,Phx,32,0,26,185,236,34,26,20,4,539,"2,151","1,399.8","5,599.2",0.4, 631 ,-14.6%,,,,,,,,,,,,,,,,,,,,,,
SA,Ajo/Gila Bend Connector,Rur,0,0,0,0,0,0,0,0,0,23,116,436.1,"1,744.4",0.1, 27 ,-14.8%,,,,,,,,,,,,,,,,,,,,,,
SA,ALEX,Phx,0,0,0,0,0,0,67,3,0,67,266,260.0,"1,040.0",0.3, 83 ,-19.3%,,,,,,,,,,,,,,,,,,,,,,
SA,BUZZ,Mes,0,0,0,0,0,0,198,9,5,198,791,"1,022.2","4,088.8",0.2, 250 ,-20.8%,,,,,,,,,,,,,,,,,,,,,,
SA,68th St/Camelback RD,Sct,0,0,0,0,0,0,749,154,23,749,"2,994",154.3,617.2,4.9, 582 ,28.7%,,,,,,,,,,,,,,,,,,,,,,
SA,Downtown/Old Town Trolly,Sct,0,0,0,0,0,0,327,0,1,327,"1,308",886.3,538.8,0.4, 324 ,0.9%,,,,,,,,,,,,,,,,,,,,,,
SA,EARTH,Tem,0,0,0,0,0,0,801,30,1,801,"3,204",918.8,"3,545.2",0.9, 962 ,-16.7%,,,,,,,,,,,,,,,,,,,,,,
SA,GUS,Gln,0,0,0,0,0,0,212,3,3,212,846,141.2,"3,675.2",1.5, 222 ,-4.5%,,,,,,,,,,,,,,,,,,,,,,
SA,JUPITER,Tem,0,0,0,0,0,0,884,25,6,884,"3,536",985.0,564.8,0.9, 834 ,6.0%,,,,,,,,,,,,,,,,,,,,,,
SA,MARS,Tem,0,0,0,0,0,0,714,23,2,714,"2,855",710.2,"3,940.1",1.0, 766 ,-6.8%,,,,,,,,,,,,,,,,,,,,,,
SA,MARY,Phx,0,0,0,0,0,0,403,11,4,403,"1,613",721.9,"2,840.8",0.6, 424 ,-5.0%,,,,,,,,,,,,,,,,,,,,,,
SA,MERCURY,Tem,0,0,0,0,0,0,928,15,1,928,"3,712",501.0,"2,887.6",1.9, 767 ,21.0%,,,,,,,,,,,,,,,,,,,,,,
SA,Miller/Hayden Trolley,Sct,0,0,0,0,0,0,595,18,1,595,"2,380",521.8,"2,004.0",1.1, 451 ,31.9%,,,,,,,,,,,,,,,,,,,,,,
SA,Mustang (MSTG),Sct,0,0,0,0,0,0,297,18,3,297,"1,189",134.7,"2,087.2",2.2, 289 ,26.2%,,,,,,,,,,,,,,,,,,,,,,
SA,SATURN,Tem,0,0,0,0,0,0,203,4,2,203,811,239.5,958.0,0.8, 186 ,9.1%,,,,,,,,,,,,,,,,,,,,,,
SA,SMART,Phx,0,0,0,0,0,0,344,6,5,344,"1,377",568.9,"2,275.6",0.6, 396 ,-13.1%,,,,,,,,,,,,,,,,,,,,,,
SA,VENUS,Tem,0,0,0,0,0,0,626,11,1,626,"2,502",641.0,"2,564.0",1.0, 579 ,8.1%,,,,,,,,,,,,,,,,,,,,,,
SA,ZOOM,Avo,0,0,0,0,0,0,0,4,1,220,881,"1,041.5","4,166.0",0.2, 339 ,-35.1%,,,,,,,,,,,,,,,,,,,,,,
SA,ZOOM,Gdy†,0,0,0,0,0,0,0,1,0,133,533,158.5,634.0,0.8, 18 ,638.9%,,,,,,,,,,,,,,,,,,,,,,
SA,ZOOM,Tol†,0,0,0,0,0,0,0,2,0,107,427,186.4,745.6,0.6, 70 ,52.9%,,,,,,,,,,,,,,,,,,,,,,
SA,Valley Metro Rail,Mes,122,0,165,"2,117","2,642",353,632,0,0,"6,031","24,115","1,970.6","7,882.4",3.1," 5,424 ",11.2%,,,,,,,,,,,,,,,,,,,,,,
SA,Valley Metro Rail,Phx,527,0,427,"7,065","8,331","1,911","2,132",0,0,"20,393","81,588","5,657.8","22,631.2",3.6," 22,333 ",-8.7%,,,,,,,,,,,,,,,,,,,,,,
SA,Valley Metro Rail,Tem,225,0,187,"1,837","2,268","1,171",665,0,0,"6,353","25,407","1,886.9","7,547.6",3.4," 6,619 ",-4.0%,,,,,,,,,,,,,,,,,,,,,,
