X,Y,OBJECTID,StopID,NextRide,Location,Juris,Shelter,Bench,TrashCan,BusBay,BikeRack,WaterFountain,PublicArt,ADA,Bathroom,Lighting,Em_Call,Info_Display,Type_,DateUpdated,Sidewalk,Photo,ATIS_ID,Direction,Long,Lat,Routes
-111.7881115,33.40840779,59,3361,16201,GILBERT RD & BROADWAY RD,Mesa,1,1,1,No,0,No,No,Yes,No,Yes,No,Yes,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7359/16495945441_491e387588_o.jpg,3375,Northbound,-111.7881115,33.40840779,136
-111.7881488,33.42977272,60,4596,16261,GILBERT RD & 8TH ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7407/16496672932_81c94cd29a_o.jpg,4610,Southbound,-111.7881488,33.42977272,136
-111.6837235,33.46691168,62,9370,16469,N POWER RD & E MCDOWELL RD,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7423/15877506823_0f83e9598c_o.jpg,12018,Northbound,-111.6837235,33.46691168,184
-111.6841065,33.437959,65,3027,16741,POWER RD & BROWN RD,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7440/15877540223_3a6c9ee986_o.jpg,3041,Northbound,-111.6841065,33.437959,184
-111.7894503,33.45956182,66,9146,18270,N GILBERT RD & E HERMOSA VISTA,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7436/16311390059_610b5db830_o.jpg,11646,Northbound,-111.7894503,33.45956182,136
-111.6846001,33.42649303,78,8886,16749,Power Rd & Decatur St,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7361/16310214600_69c5c01c64_o.jpg,11295,Southbound,-111.6846001,33.42649303,184
-111.6841834,33.43272925,80,3025,16740,POWER RD & ENSENADA ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8561/16309957108_abe4fbc201_o.jpg,3039,Northbound,-111.6841834,33.43272925,184
-111.6845432,33.43202513,81,8887,16748,Power RD & Ensenada St,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8640/15875105644_cffe1bb5ff_o.jpg,11296,Southbound,-111.6845432,33.43202513,184
-111.7883858,33.42214602,83,4610,16264,GILBERT RD & UNIVERSITY DR,Mesa,1,2,1,No,2,No,No,Yes,No,No,No,Yes,Standard,1.54115E+12,,https://farm8.staticflickr.com/7400/15875119694_13f5f1da79_o.jpg,4624,Southbound,-111.7883858,33.42214602,136
-111.7884771,33.39698537,85,5093,16271,GILBERT RD & EMERALD AVE,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7370/16497678505_96af5d6212_o.jpg,5107,Southbound,-111.7884771,33.39698537,136
